Country,Year,Current health expenditure (% of GDP),Domestic general government health expenditure (% of total government expenditure),Employment by industry: Agriculture (%) Female,Employment by industry: Agriculture (%) Male,Employment by industry: Agriculture (%) Male and Female,Employment by industry: Industry (%) Female,Employment by industry: Industry (%) Male,Employment by industry: Industry (%) Male and Female,Employment by industry: Services (%) Female,Employment by industry: Services (%) Male,Employment by industry: Services (%) Male and Female,GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),All staff compensation as % of total expenditure in public institutions (%),Capital expenditure as % of total expenditure in public institutions (%),Current expenditure other than staff compensation as % of total expenditure in public institutions (%),Public expenditure on education (% of GDP),"Infant mortality for both sexes (per 1,000 live births)",Life expectancy at birth for both sexes (years),Life expectancy at birth for females (years),Life expectancy at birth for males (years),"Maternal mortality ratio (deaths per 100,000 population)",Population annual rate of increase (percent),Total fertility rate (children per women),Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)","Asylum seekers, including pending cases (number)",International migrant stock: Both sexes (% total population),International migrant stock: Both sexes (number),International migrant stock: Female (% total Population),International migrant stock: Male (% total Population),Other of concern to UNHCR (number),Total population of concern to UNHCR (number),Total refugees and people in refugee-like situations (number),Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000"
Belize,2010.0,-0.49483421738511113,0.350354932847771,-0.6606630499000734,0.21806140845177965,-0.1459346643624032,-0.4702014989604399,-0.6795761842987085,-0.5824622982190153,0.8433132924839487,0.3139379717522208,0.49079365151303866,-0.30988188063970784,-0.3171283430058047,-0.5695533985381673,-0.5762202139008283,-2.375297295896481,1.1130688451333657,2.058152578282765,0.37225134406034155,-0.05851932043044367,-0.20460025635045515,-0.15405765496138918,-0.19871641678760363,-0.41158031302346415,0.963918732082838,0.19414309737064975,-0.3365386327214125,-0.630039402914773,0.5388138089089206,0.8121349888036091,-0.8846739169814624,-1.1398380102114618,-0.293514282920585,-0.286776160623464,-0.27388587388384883,-1.9257965679029538,-0.22049252466996408,0.4610576347144694,-0.3773037210173981,0.5475257792425318,0.43865731928814444,-0.21277844118079642,-0.3009848575374555,-0.2998901903272868,-0.5289572203740887,0.9738460556224365,0.055822375535461044,0.7234202070898623,-0.3388220577543775,0.06786762332953698,-0.3474154059584709,2.5844765805330057
Bhutan,2010.0,-1.2688564562923412,-1.1470206498367932,1.8372875704255436,1.3269659099259201,1.6366792348424275,-0.752716605462055,-2.091158762960714,-1.8263341901218064,-1.6395091561945911,-0.17207335479851127,-1.093493754659582,-0.3101045204517398,-0.3172468383119839,-0.7211600515503811,2.0216153300754094,-2.375297295896481,1.1130688451333657,2.058152578282765,-0.37836097925007783,0.9981770378728628,-0.7481912416161584,-0.8794654972279357,-0.5616124539789459,0.13138100569120073,0.0003734671569480985,-0.06404720738000784,-0.8744459711378965,-1.2746268722358778,0.45369279652056654,0.07119960473612112,-1.3644340233003638,-1.2461755384495452,-0.29084318802680875,-0.2832444167618454,-0.2730131410981209,-1.186800845611116,-0.21956508988872525,-0.1363911414450085,-0.376779418749383,-0.5086568784966825,0.15256082220384598,-0.21277844118079642,-0.30100011421886563,-0.2998901903272868,0.9496620389118304,0.08824541288280838,0.7534026091205587,-0.8186892393777958,-0.9351119001870475,-0.904901644393828,-0.3474154059584709,-0.3855270239259078
Bolivia (Plurin. State of),2010.0,-0.649638665166557,-0.2943484430303055,0.5153201966817917,0.4952875338203147,0.5164573856153479,-0.5172873500440425,-0.22585321258592106,-0.1678383342514184,-0.350431056797219,-0.599174217524912,-0.4964302172587065,-0.29554706607548964,-0.30601646117871056,-0.7340305289596577,0.11000049582874366,-0.028960579624342432,0.22583257966418924,-0.009062986411969287,1.4356188020834357,1.1433276365408993,-1.0548323102275818,-1.0710826631096633,-1.0082537305221377,0.564457295618374,0.482146099619893,0.7105237068719645,0.1141404886545601,0.21532121258831496,-0.038117497278817164,-0.1377821702572733,-0.11077517405037758,-0.08827800874596882,-0.24149152998941914,-0.20058921831624468,-0.17293978166798538,0.01298044469798552,-0.22031663186662567,-0.619260700258833,-0.35755689628667653,-0.6568930409863968,-0.5897436026635232,-0.21277666004483484,-0.30011064969265766,-0.2973540819899061,0.853751600471663,1.2690462698689782,1.1993965289536528,-0.9819714160626065,-1.0543698686735814,-1.0438686826400232,-0.2537369078751394,-0.1806991891356379
Brazil,2010.0,0.395291357358204,-0.4399266246801935,-0.8066471770619601,-0.2830781258682645,-0.42355486177954904,0.20469569990452968,0.3791107496977955,0.35044162070807783,0.5282974225347519,0.24766369994984838,0.40803236910103574,0.7335536384193816,1.052143236956101,-0.2926961804437658,0.9432685005003671,0.10012590638415732,-0.39523280616423423,0.08281326090779662,0.5599044248879462,-0.02948920069683636,-0.07915618282759948,0.01018563008009114,-0.17080133700365377,-0.21120173111686164,-0.1602174103307003,-0.49436438196443655,0.5648196100305327,0.6538520318805418,0.19832975935550182,0.4986623263135182,0.3489949278385693,-0.011478682796241991,1.5163433001052316,0.7566372890196514,1.0755044683158128,-1.1607186436478747,-0.20702873008715209,-0.6929187685524673,-0.23621992106505102,-0.7402758823868612,-0.667066980253874,-0.21276775436502693,-0.29324819439440164,-0.2807993070674673,0.17438599485380835,0.5556457521065005,0.33028017235582713,0.43314078187242083,-0.31894572967328844,0.028162755259195683,0.8648478700859964,1.5288254319985377
Bulgaria,2010.0,0.0856824617953116,-0.04478584591621128,-0.6079465595360588,-0.714911128846175,-0.6963045294174466,1.9782627573868914,1.4377976836942998,1.6331845092328308,0.13452758509825558,0.05620469252077204,0.14792548152045673,-0.28188753094115354,-0.2867643860930992,-0.5090810818872281,-0.5272044489201447,-0.044147225037107295,-0.861031845535552,0.3967237725836635,-0.5034630331351476,-0.45913497275422466,0.004473199520969635,0.1196811534410806,-0.08705609765180419,-0.5602482931477176,-1.3646489914880628,-0.6664912517982081,-0.5594551873804962,-0.3764312182638468,0.3401981133360932,0.2136871785952535,0.11768201943481349,0.25436513779896686,-0.2682024789271816,-0.2739503539681122,-0.2302492345974525,-0.11743056511822117,-0.19839399246872158,-0.6356291598796406,-0.3695820141667339,-0.666157801142004,-0.6206729536996635,-0.21266266734329348,-0.2906469302139822,-0.27549653508930766,-0.29717366081035007,-1.47385572083848,-0.9390871379383668,0.17914628480715944,0.6748706743811614,0.4847687380681223,-0.4232314785598112,-0.4170389985090262
Burundi,2010.0,1.7111291635004955,-1.2925988314866812,3.0294912755809524,3.1769171695967215,3.278047770449062,-1.678738343439571,-2.131489693779628,-2.2409581540894035,-2.700615244444518,-2.712587107222792,-2.896507407206781,-0.3095868675554451,-0.31694656748376027,-0.8144236948359845,0.3550793207321623,0.10012590638415732,-0.23996645970712832,0.036875137247913525,1.3105167481983657,2.461295072446671,-2.323211275847559,-2.480837526382383,-2.13881446177209,3.305119190082873,2.0880548744963763,3.3784901892954236,-3.316836048272201,-3.2083892801991913,3.0073231681712116,3.0159427978248567,-2.2382827883812193,-2.0791528429811996,-0.263369069119396,-0.1754332883545401,-0.26399490231226563,0.8041405709163059,-0.02809777832745333,-0.4801287934819683,-0.32540786928609367,-0.49939211834107533,-0.47375853627799674,0.07102063839411582,0.005062645880701038,-0.16774583594230377,2.3563484693676235,0.801645930645286,2.045641402483116,-1.3629631616604987,-1.0742461967546704,-1.2423930229917304,-0.5689094819351613,-0.22796715101031562
Cabo Verde,2010.0,-0.9205464487840876,-0.8142705203513344,-0.30786807592551385,-0.027177087066539735,-0.165416783479396,-1.207879832603546,-0.29643234151902126,-0.31036532186528004,0.43710861807577367,0.3654846275985108,0.39620932875646464,-0.31013457375970005,-0.3171748725762939,-0.6738894378302808,-0.5272044489201447,0.7531516591330369,-0.3730518995275049,-0.5832895321605067,0.5599044248879462,0.27242404453267965,-0.03734149165331493,0.21548973638194346,-0.28246165613945123,-0.2758399833447979,0.08066890590077216,0.1080796624537639,0.9525005746550254,0.4055273510765102,0.2267034301516198,0.8501316751660449,-0.36493380180265284,-0.8680865491585815,-0.2919879429812843,-0.285660873088216,-0.27141313099095304,-0.35217038278739315,-0.22090827129603666,-0.4801287934819683,-0.38557297506421606,-0.49939211834107533,-0.45829386075992656,-0.21257717281713745,-0.30106266661264697,-0.3004914423930116,-0.2731960512003078,-0.1331547478020982,-0.28724987048999673,0.46942571002460093,0.5556127058946275,0.564178474208805,2.532801467315483,0.08715259482086889
Cambodia,2010.0,0.008280237904588839,-0.9598487020012226,1.4439414500171266,1.710817468128507,1.6415497646216755,0.597077792267884,-0.9921408981452952,-0.5565483004710405,-1.5980596996223284,-1.512286406802045,-1.684645771888172,-0.30321801959913663,-0.3112327362276865,-0.7879256531110033,0.5756502631452391,-0.11248712939454758,-1.803720377596552,0.7757132927776983,-2.0046876797559863,1.0852673970736848,-0.845758854356157,-0.9205263184883057,-0.7849330922505408,1.1591292161153879,0.3215552221322447,0.36626996720442107,-1.7854962380054542,-1.8875133184756163,1.4751449451808243,2.009030609220322,-0.6733510130076606,-0.6214425600508047,-0.22126752579368475,-0.14922403127621245,-0.25810395600860214,-0.09134836315497977,-0.22015672931813624,-0.6683660791212559,-0.36809924602847044,-0.7217463620756468,-0.6438699669767688,-0.2071482704062301,-0.3009634981834814,-0.29991279378840424,0.9576545754485112,0.5556457521065005,0.9135029905991047,-1.417390553888769,-1.3326384618088274,-1.401212495273096,-0.3972317259138018,-0.3855270239259078
Cameroon,2010.0,-1.2688564562923412,-1.7501302595291868,1.658862526116571,1.4975666024604033,1.6512908241801718,-0.2504675272369614,-2.2020688227127287,-1.048914257682562,-1.593914753965102,-1.0410026962073955,-1.4718310456858796,-0.2954838927954916,-0.3011581536253649,-0.7595822120516038,-0.18409409405535862,0.9885446630308896,0.9799834053129892,-1.2800177410020652,-1.191524329503032,3.1580179460532474,-2.3929024278047004,-2.535585288062877,-2.2086021612319637,2.781549347036589,1.445691364545783,2.43179240520968,-2.3912477452312237,-2.0777194569638113,-0.4164331078937275,0.9261250478909153,-1.6814183792610662,-1.4972502579005758,-0.17344220769559585,-0.07257899343722589,-0.2138127671329099,-0.717321210272772,-0.1828674550103956,-0.6028922406380254,-0.31400416581827495,-0.6476282808307897,-0.5665465893864179,-0.21266444847925506,-0.13841271176787578,0.17089921851970843,1.5171321330161562,1.3059462966497957,1.6682619318551128,-0.6735495267690749,-0.8158539317005133,-0.7460821721124623,-0.48396372519858116,-0.17282119548985833
Canada,2010.0,1.478922491828326,1.3070115551184642,-0.7742062599148741,-1.0241248840649257,-0.9398310183798552,-0.4702014989604399,0.4295244132214386,-0.025311346637556745,0.9469369339146056,1.219686353051312,1.2001760721873465,0.5471115024934797,0.6851359763712136,1.4282096757988065,-0.13507832907467485,-0.10489380668816568,0.15928985975400084,0.09812596879442421,0.43480237100287683,-0.6971819545698046,1.0498404788780935,0.9545845190686126,1.1272498729499958,-0.5473206427021304,0.0003734671569480985,-0.6664912517982081,0.18683066952165248,0.22588822028210373,-0.5393856813435731,-0.7457291520562372,0.4118206560469969,0.5645162618267104,-0.19519255183063094,-0.15572987523182572,-0.011338760844031041,-0.0044076899441753085,0.5949305213520053,0.903006044476275,1.3569838376770065,1.131205669045782,0.7866125184447239,-0.2127695355009885,0.029192613198890882,0.4479001138221425,0.8697366735450239,0.014445359321171683,0.604737969176194,-0.25627285301900277,0.25746778467829257,0.04801518929436633,0.06580203685825807,-0.44067297944636513
