Region/Country/Area,Country,Year,Series,Value,Footnotes,Source
2,Africa,2021,GDP in current prices (millions of US dollars),2726643.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,1995,GDP per capita (US dollars),836.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2005,GDP per capita (US dollars),1263.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2010,GDP per capita (US dollars),1929.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2015,GDP per capita (US dollars),2007.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2019,GDP per capita (US dollars),1939.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2020,GDP per capita (US dollars),1799.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2021,GDP per capita (US dollars),1959.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,1995,GDP in constant 2015 prices (millions of US dollars),984606.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2005,GDP in constant 2015 prices (millions of US dollars),1533871.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2010,GDP in constant 2015 prices (millions of US dollars),1995546.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2015,GDP in constant 2015 prices (millions of US dollars),2407357.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2019,GDP in constant 2015 prices (millions of US dollars),2672971.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2020,GDP in constant 2015 prices (millions of US dollars),2602636.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2021,GDP in constant 2015 prices (millions of US dollars),2738166.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,1995,GDP real rates of growth (percent),2.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2005,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2010,GDP real rates of growth (percent),5.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2015,GDP real rates of growth (percent),3.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2019,GDP real rates of growth (percent),2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2020,GDP real rates of growth (percent),-2.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2021,GDP real rates of growth (percent),5.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,1995,GDP in current prices (millions of US dollars),207392.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2005,GDP in current prices (millions of US dollars),376507.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2010,GDP in current prices (millions of US dollars),646437.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2015,GDP in current prices (millions of US dollars),772568.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2019,GDP in current prices (millions of US dollars),764307.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2020,GDP in current prices (millions of US dollars),762287.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2021,GDP in current prices (millions of US dollars),853806.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,1995,GDP per capita (US dollars),1281.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2005,GDP per capita (US dollars),1922.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2010,GDP per capita (US dollars),3127.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2015,GDP per capita (US dollars),3390.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2019,GDP per capita (US dollars),3101.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2020,GDP per capita (US dollars),3039.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2021,GDP per capita (US dollars),3346.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,1995,GDP in constant 2015 prices (millions of US dollars),354910.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2005,GDP in constant 2015 prices (millions of US dollars),557673.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2010,GDP in constant 2015 prices (millions of US dollars),700055.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2015,GDP in constant 2015 prices (millions of US dollars),772568.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2019,GDP in constant 2015 prices (millions of US dollars),873924.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
15,Northern Africa,2020,GDP in constant 2015 prices (millions of US dollars),839687.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
