Country,Year,Current health expenditure (% of GDP),Domestic general government health expenditure (% of total government expenditure),Employment by industry: Agriculture (%) Female,Employment by industry: Agriculture (%) Male,Employment by industry: Agriculture (%) Male and Female,Employment by industry: Industry (%) Female,Employment by industry: Industry (%) Male,Employment by industry: Industry (%) Male and Female,Employment by industry: Services (%) Female,Employment by industry: Services (%) Male,Employment by industry: Services (%) Male and Female,GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),All staff compensation as % of total expenditure in public institutions (%),Capital expenditure as % of total expenditure in public institutions (%),Current expenditure other than staff compensation as % of total expenditure in public institutions (%),Public expenditure on education (% of GDP),"Infant mortality for both sexes (per 1,000 live births)",Life expectancy at birth for both sexes (years),Life expectancy at birth for females (years),Life expectancy at birth for males (years),"Maternal mortality ratio (deaths per 100,000 population)",Population annual rate of increase (percent),Total fertility rate (children per women),Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)","Asylum seekers, including pending cases (number)",International migrant stock: Both sexes (% total population),International migrant stock: Both sexes (number),International migrant stock: Female (% total Population),International migrant stock: Male (% total Population),Other of concern to UNHCR (number),Total population of concern to UNHCR (number),Total refugees and people in refugee-like situations (number),Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000"
Afghanistan,2015.0,1.246715820156157,-1.895708441179075,1.8291773411387722,0.9751019815735485,1.1496262569176103,2.3706448497502457,-1.0929682251925814,0.05243064660636741,-2.5016578528976567,-0.6949037212394503,-1.3595121624124473,-0.2995668493483754,-0.30659777061268895,-0.7987614594592546,-1.2379330411400586,0.3203322648692452,2.355199616790213,-1.0886088924192194,-0.8787691947903573,2.1767998990573196,-1.542670373927573,-1.6322472203347276,-1.4269799272813797,4.391041827512203,0.963918732082838,2.603919275043452,-2.4154778055202546,-0.9681836491160077,-1.9959007822109784,1.5625695444617067,-1.7271098179581044,-0.983285538083172,-0.08453290623132952,0.0940325722450982,-0.13206679620306083,0.48246008003632945,-0.21935721657568896,-0.6356291598796406,-0.30161771844415197,-0.6754225612976111,-0.6129406159406284,1.9167512767606874,1.8673755648752448,0.7198875614487206,-2.5910316468376946,0.4695456896179252,-1.6481031130576458,0.5238531022528713,0.1580861442728476,0.22668709561090286,-0.29521742927220784,0.22107848679912223
Albania,2015.0,-0.26262754571294183,-0.4607235077730346,1.1154771639028818,0.8045012890390656,0.9840282444231723,-1.4903949391051612,-0.43759059938522166,-0.21966632974736783,-1.2084348078430585,-0.6580846813492434,-1.040290073109009,-0.3040601255548388,-0.311142779058074,-0.6380697635699044,-0.3556492714877516,0.9353914040862131,-0.19560464643366965,-0.8206365044032353,-0.8162181678478223,-0.48816509248783196,0.6735082583095285,0.6397848894057728,0.7503962958666797,-0.5796397688160986,-0.8828763590251179,-0.6664912517982081,0.22075275392629573,0.16776967796626674,0.25507710094773783,-0.2137755429821436,0.05771200614495058,0.405009969469585,-0.2745622286742678,-0.27841150410910415,-0.2545402971335465,-0.12612463243930172,-0.2129611146361108,-0.5701553213964102,-0.3758467805770664,-0.6013044800527539,-0.5510819138683477,-0.19952500849065155,-0.2888832578429764,-0.2997997764828169,-0.361113953103795,-0.908055310199274,-0.6989365657205463,1.539831090513917,1.927079343489768,1.8545866864949014,-0.5585889694344554,-0.3934050175716874
Angola,2015.0,-1.6558675757459562,-1.354989480765205,1.8494529143557008,1.5348855039523213,1.797406717557617,-1.5845666412723662,-1.2139610176493247,-1.593108210390033,-1.4364068189905037,-1.0999131600317271,-1.3949812834461628,-0.23977855315915095,-0.2461211164679195,-0.6295052179409373,-0.6742517438621959,0.21022908562670017,-0.7944891256253636,0.10961049970939486,-1.003871248675427,2.461295072446671,-1.8214349817561393,-1.8375513266365788,-1.7898759644727218,1.1462015656698006,2.007759435752553,2.948173014710995,0.6253947607531096,0.43722837415787574,0.12266663723252001,1.4105827990119648,0.25903990790377557,0.09338193532742363,-0.2722091212678459,0.058219450279912884,-0.24850389536559497,1.2736202062546498,0.261022019596328,-0.5292341723443912,-0.22600816585678393,-0.5549806792747183,-0.5201525628322072,-0.20763986393162723,-0.23151813574105823,-0.23017659554877004,1.868803740630105,1.035346100257133,1.7940550887311133,0.106576428502799,0.4959837216513604,0.3458016998219271,-0.4996429653438845,-0.21221116371875637
Argentina,2015.0,1.2854169321015183,1.119839607282894,-0.6647181645434591,-0.5389791646699892,-0.623246582728724,-1.5845666412723662,0.5001035421545388,0.24678562971617848,0.8101537272261387,0.5053969791812972,0.6976968575430451,0.08449602639900589,0.08188691931574005,-0.1195125505983531,-0.23310985903604228,1.1252244717457713,0.40327983275802465,-1.2264232633988683,0.6850064787730162,-0.3430144938197954,0.4226201112638192,0.5029154852045379,0.3177125592154618,-0.3727973616867024,-0.07992197158687614,-0.06404720738000784,1.6260962506900816,1.6788517781780363,0.623934821297276,0.48916315472290994,0.10054772992342391,-0.1916617167552167,0.049530618437249485,0.006358579890881547,-0.016138791165534634,1.2214558023281676,-0.20662897371592845,-0.324628427084296,0.14955833013975028,-0.2955673949177183,-0.33457645661536506,-0.21093140318863404,-0.2944946652656055,-0.28456956438186215,-0.32115127042039177,0.0021453503942331065,-0.27581412895581464,-0.0022783559537415056,-0.15993510502457647,-0.0710994149166579,1.0819755753893112,-0.046773297157384576
Armenia,2015.0,1.246715820156157,-1.0430362343725874,0.8072884510055652,0.5112813487454225,0.691796457668282,-0.6114590522112475,-0.3367632723379355,-0.5824622982190153,-0.6239974701741533,-0.3414409382934631,-0.525987818120136,-0.3045716451229784,-0.3116601878819139,-0.651508056159002,-0.11057044658433297,1.6187904476606225,0.2036516730274595,-0.8895436898930599,-1.191524329503032,-0.25592413461897345,0.08810258186954073,0.31129831932280827,-0.19871641678760363,-0.4632909148058132,-1.2040581140004147,-0.6664912517982081,0.5599735979727268,0.5957334895647047,-0.8325802795701295,-1.1351951872711998,0.21192061174745472,-0.017386323253913382,-0.27023759884624915,-0.28107580210997435,-0.26079488209792995,-0.9955313645473463,-0.21914934326265267,-0.1854965203074313,-0.3399028899193671,-0.09174267149436108,-0.2572530790250141,-0.21235809309386264,-0.27676335013080516,-0.2295663020985982,0.33423672558742124,-0.2684548459984313,-0.001356332135448591,0.4149983177963308,1.1916552044894753,0.8619649847363656,-0.5593828550114328,-0.361893042988569
Australia,2015.0,1.2854169321015183,1.5149803860468758,-0.745820457411174,-0.9761434392896022,-0.9008667801458697,-0.5643732011276449,0.4093589478119814,-0.03826834551154434,0.9469369339146056,1.1755035051830642,1.158795430981345,0.45270731552940024,0.4543375192535908,1.6486639193643196,-0.23310985903604228,-0.15045374292645922,-0.28432827298058716,0.2971911713205839,0.37225134406034155,-0.8074964095575125,1.2449757043580907,1.118827804110095,1.3366129713296169,-0.5925674192616858,0.3215552221322447,-0.49436438196443655,1.0251907555221178,1.8320733897379713,-0.2840226441785097,-0.4417556611567559,3.2875255790418394,4.546265930297172,-0.11773079991111994,-0.15740280653469768,-0.08566650309519275,0.395519406825525,0.1441972176699331,1.582297118739791,1.3488491459364131,1.8445922010275317,1.4747905789988471,-0.21275528641329583,-0.21211011131928956,-0.1396406923888352,0.605982967834563,-0.04705468531352469,0.38745888002673673,-0.4558399578559939,-0.29906940159219947,-0.349033491409048,0.5512630671799292,-0.48794094132104276
Austria,2015.0,1.3628191559922418,0.7454957116117528,-0.6484977059699162,-0.8961743646640633,-0.8083267143401546,0.09482871404279031,1.1554811679618984,0.7132375891797252,0.669225574880445,0.5201245951373796,0.709519897887617,-0.07686263737077614,-0.08132950804627587,1.265483308848431,-0.649743861371854,0.08493926097139246,-0.7723082189886342,0.22828398583075926,0.49735339794541156,-0.8074964095575125,1.035902248486666,0.9682714594887354,1.0574621734901222,-0.5861035940388922,0.1609643446445964,-0.752554686715094,0.21106072981068327,0.22588822028210373,-0.29348053444388195,-0.36576228843188424,0.27760205487444706,0.5231627786230112,-0.25433822447853344,-0.2697370455016198,-0.22283100591876515,0.7345880323476626,0.2731266425169796,0.6820318395953723,-0.006228661691200408,0.8347333440663534,0.6087687499869167,-0.21176675595461683,-0.16054557948948556,-0.02587747258458294,0.31025911597737893,-0.6251551048796692,-0.10427800594308577,-0.6009796704647146,-0.27919307351111056,-0.4284432275497308,-0.4232314785598112,-0.5273309095499408
Azerbaijan,2015.0,-1.0753508965655338,-1.6045520778792988,0.8883907438732801,0.5006188054620174,0.745372285240012,-0.8939741587128626,-0.7602380459365374,-0.8156882779507887,-0.6405772528030583,-0.21625620266675974,-0.47869565674184855,-0.2784908938088311,-0.2852791622030839,-0.5703578033762471,-0.6252359788815122,-1.1527723401689265,-1.5042781380007049,1.7365857126635837,-1.066422275617962,0.35370837978678027,-0.3161060994818813,-0.23617929748213126,-0.4080795151672246,-0.4374356139146387,0.08066890590077216,-0.23617407721377917,-0.2977705362589634,-0.23906011824459453,0.09429296643640066,0.10919629109855696,-0.970345364538409,-0.8710403693874172,-0.22381142569251927,-0.2559198721482698,-0.2724313192409689,-0.5695220658144045,-0.21678278554500877,-0.4964972531027759,-0.321007346112477,-0.5086568784966825,-0.4892232117960669,0.9030587103523985,0.6570279382459884,-0.2943613837379524,0.7578411620314951,-0.6620551316604885,0.20448701547982576,-0.5102673500842642,-0.6767196351328905,-0.5674102657959258,-0.5744666809740031,-0.40128301121746707
Bahamas,2015.0,-0.6883397771119186,0.5375268806833411,-0.7498755720545598,-0.8641867348138476,-0.8521614823533881,-1.3020515347707509,-0.6594107188892513,-1.1266562509264864,1.1541842167759195,1.8087909912946236,1.6080709640750739,-0.3037687924674692,-0.3108480917783091,0.6043098498784988,-0.649743861371854,-0.27574356758176805,-0.38414235284586956,0.4541464271585172,-1.5668304911582414,-0.26753618251241634,-0.09309441321902899,-0.017188250760154282,-0.17080133700365377,-0.08192522666098905,-0.1602174103307003,-0.6664912517982081,0.6181257426664002,0.5693159703302332,-0.23200424771895845,-0.3182664304788401,0.5417556848416992,0.40648687958400315,-0.29516781785482743,-0.2880153689959618,-0.2730131410981209,-0.7781796815203351,-0.2206684174733025,0.5756368520601227,-0.37398460355618507,0.6401733807986032,0.5855717367098113,-0.21272856937387208,-0.30115268103296644,-0.3004643182396707,1.213415744622292,1.2075462252342817,1.3709326519663818,0.7959900633942227,0.7146233305433393,0.8222601166660244,4.029275779917854,2.3638927584511764
Bahrain,2015.0,-0.72704088905728,-0.4607235077730346,-0.8147574063487315,-1.0774376004819517,-0.9739247268345923,-0.9567552934909992,1.5789559415605003,1.918238484460554,0.963516716543511,0.4612141313130487,0.36074020772274873,-0.2919995490705505,-0.29894334607007894,0.253636658407364,-0.28212562401672603,0.9202047586734483,0.03729487325198931,-0.8933718668647167,-1.2540753564455667,-0.6100915953689827,0.7850141014409566,0.585037127725278,1.0155895538141984,-0.5214653418109558,1.927463997008728,-0.23617407721377917,0.20136870569507082,0.3791098318420387,-0.2745647539131361,-0.5272482054722345,0.47464638425542455,0.4611325538174626,-0.29084318802680875,-0.2833683375990952,-0.26835856624090526,-1.2737415188219205,-0.21972499243721472,3.595617652099127,-0.20268343013157292,2.6320968142541394,4.142447105865955,-0.19096041621937598,-0.30069650625880495,-0.299243731339327,-0.6808154145710207,1.810246662654307,1.062167630543471,-0.873116631606066,-1.3922674460520943,-1.321802759132413,-0.15985993839756366,-0.5509648904872796
