Country,Year,Gross enrollment ratio - Upper secondary level (female)
Sweden,2015.0,179.1
Switzerland,2010.0,82.6
Switzerland,2015.0,95.3
Tajikistan,2010.0,47.8
Thailand,2010.0,73.5
Thailand,2015.0,120.2
Timor-Leste,2010.0,50.6
Timor-Leste,2015.0,62.5
Tunisia,2010.0,84.2
Türkiye,2010.0,67.5
Türkiye,2015.0,102.9
Uganda,2010.0,62.650000000000006
Uganda,2015.0,63.300000000000004
Ukraine,2010.0,76.4
United Arab Emirates,2015.0,161.3
United Kingdom,2010.0,99.6
United Kingdom,2015.0,138.5
United Rep. of Tanzania,2010.0,7.4
United Rep. of Tanzania,2015.0,5.0
United States of America,2015.0,95.6
Uruguay,2015.0,64.45
Uzbekistan,2015.0,89.6
Venezuela (Boliv. Rep. of),2010.0,77.6
Viet Nam,2010.0,85.80000000000001
Yemen,2010.0,24.6
Zambia,2010.0,97.3
Zambia,2015.0,97.75
