Country,Year,Gross enrollment ratio - Upper secondary level (male)
Sweden,2010.0,100.5
Sweden,2015.0,149.2
Switzerland,2010.0,89.5
Switzerland,2015.0,100.8
Tajikistan,2010.0,71.0
Thailand,2010.0,62.4
Thailand,2015.0,120.3
Timor-Leste,2010.0,52.5
Timor-Leste,2015.0,59.2
Tunisia,2010.0,67.6
Türkiye,2010.0,77.4
Türkiye,2015.0,109.8
Uganda,2010.0,70.9
Uganda,2015.0,66.05
Ukraine,2010.0,83.6
United Arab Emirates,2015.0,179.0
United Kingdom,2010.0,96.0
United Kingdom,2015.0,130.2
United Rep. of Tanzania,2010.0,9.8
United Rep. of Tanzania,2015.0,7.4
United States of America,2015.0,93.9
Uruguay,2015.0,65.3
Uzbekistan,2015.0,90.4
Venezuela (Boliv. Rep. of),2010.0,66.0
Viet Nam,2010.0,82.2
Yemen,2010.0,41.8
Zambia,2010.0,92.8
Zambia,2015.0,98.5
