Country,Year,Employment by industry: Services (%) Male
Switzerland,2010.0,63.6
Switzerland,2015.0,66.1
Tajikistan,2010.0,35.3
Thailand,2010.0,37.2
Thailand,2015.0,39.5
Timor-Leste,2010.0,41.4
Timor-Leste,2015.0,40.0
Tunisia,2010.0,49.1
Türkiye,2010.0,52.2
Türkiye,2015.0,52.2
Uganda,2010.0,22.8
Uganda,2015.0,26.2
Ukraine,2010.0,44.5
United Arab Emirates,2015.0,58.8
United Kingdom,2010.0,68.8
United Kingdom,2015.0,70.1
United Rep. of Tanzania,2010.0,24.8
United Rep. of Tanzania,2015.0,25.7
United States of America,2015.0,68.7
Uruguay,2015.0,58.5
Uzbekistan,2015.0,42.5
Venezuela (Boliv. Rep. of),2010.0,57.9
Viet Nam,2010.0,27.8
Yemen,2010.0,56.8
Zambia,2010.0,25.6
Zambia,2015.0,27.9
