Country,Year,International migrant stock: Female (% total Population)
Switzerland,2010.0,27.0
Switzerland,2015.0,27.6
Tajikistan,2010.0,4.2
Thailand,2010.0,4.7
Thailand,2015.0,4.9
Timor-Leste,2010.0,1.1
Timor-Leste,2015.0,0.6
Tunisia,2010.0,0.4
Türkiye,2010.0,2.0
Türkiye,2015.0,4.9
Uganda,2010.0,1.5
Uganda,2015.0,2.2
Ukraine,2010.0,11.1
United Arab Emirates,2015.0,76.8
United Kingdom,2010.0,11.4
United Kingdom,2015.0,13.1
United Rep. of Tanzania,2010.0,0.7
United Rep. of Tanzania,2015.0,0.8
United States of America,2015.0,15.3
Uruguay,2015.0,2.4
Uzbekistan,2015.0,4.0
Venezuela (Boliv. Rep. of),2010.0,4.7
Viet Nam,2010.0,0.1
Yemen,2010.0,1.2
Zambia,2010.0,1.1
Zambia,2015.0,0.8
