Country,Year,Current health expenditure (% of GDP)
Switzerland,2010.0,9.9
Switzerland,2015.0,11.0
Tajikistan,2010.0,5.7
Thailand,2010.0,3.4
Thailand,2015.0,3.9
Timor-Leste,2010.0,6.5
Timor-Leste,2015.0,7.7
Tunisia,2010.0,5.6
Türkiye,2010.0,5.0
Türkiye,2015.0,4.1
Uganda,2010.0,6.8
Uganda,2015.0,5.1
Ukraine,2010.0,6.8
United Arab Emirates,2015.0,3.6
United Kingdom,2010.0,10.0
United Kingdom,2015.0,9.8
United Rep. of Tanzania,2010.0,5.2
United Rep. of Tanzania,2015.0,3.6
United States of America,2015.0,16.5
Uruguay,2015.0,8.3
Uzbekistan,2015.0,4.7
Venezuela (Boliv. Rep. of),2010.0,6.8
Viet Nam,2010.0,4.7
Yemen,2010.0,5.2
Zambia,2010.0,3.7
Zambia,2015.0,4.4
