Country,Year,Labour force participation - Female
Switzerland,2010.0,60.0
Switzerland,2015.0,62.3
Tajikistan,2010.0,29.4
Thailand,2010.0,63.7
Thailand,2015.0,61.1
Timor-Leste,2010.0,62.1
Timor-Leste,2015.0,61.5
Tunisia,2010.0,24.9
Türkiye,2010.0,26.9
Türkiye,2015.0,31.3
Uganda,2010.0,65.4
Uganda,2015.0,66.7
Ukraine,2010.0,51.9
United Arab Emirates,2015.0,49.4
United Kingdom,2010.0,56.1
United Kingdom,2015.0,57.2
United Rep. of Tanzania,2010.0,83.9
United Rep. of Tanzania,2015.0,80.1
United States of America,2015.0,56.0
Uruguay,2015.0,56.3
Uzbekistan,2015.0,41.3
Venezuela (Boliv. Rep. of),2010.0,49.6
Viet Nam,2010.0,71.6
Yemen,2010.0,10.0
Zambia,2010.0,51.5
Zambia,2015.0,51.8
