Country,Year,Public expenditure on education (% of GDP)
Switzerland,2010.0,4.8
Switzerland,2015.0,5.0
Tajikistan,2010.0,4.0
Thailand,2010.0,3.5
Thailand,2015.0,3.9
Timor-Leste,2010.0,11.1
Timor-Leste,2015.0,6.3
Tunisia,2010.0,6.0
Türkiye,2010.0,3.8
Türkiye,2015.0,4.3
Uganda,2010.0,1.7
Uganda,2015.0,2.3
Ukraine,2010.0,7.4
United Arab Emirates,2015.0,1.7
United Kingdom,2010.0,5.7
United Kingdom,2015.0,5.6
United Rep. of Tanzania,2010.0,4.5
United Rep. of Tanzania,2015.0,4.2
United States of America,2015.0,4.9
Uruguay,2015.0,4.6
Uzbekistan,2015.0,5.5
Venezuela (Boliv. Rep. of),2010.0,4.2
Viet Nam,2010.0,4.0
Yemen,2010.0,4.4
Zambia,2010.0,3.4
Zambia,2015.0,4.6
