Country,Year,"Asylum seekers, including pending cases (number)"
Sri Lanka,2010.0,138.0
Sri Lanka,2015.0,461.0
Suriname,2015.0,21.0
Sweden,2010.0,18635.0
Sweden,2015.0,56135.0
Switzerland,2010.0,12916.0
Switzerland,2015.0,17085.0
Tajikistan,2010.0,1656.0
Thailand,2010.0,10250.0
Thailand,2015.0,8166.0
Timor-Leste,2010.0,4.0
Timor-Leste,2015.0,4.0
Tunisia,2010.0,23.0
Türkiye,2010.0,6715.0
Türkiye,2015.0,145335.0
Uganda,2010.0,20804.0
Uganda,2015.0,38068.0
Ukraine,2010.0,2981.0
United Arab Emirates,2015.0,378.0
United Kingdom,2010.0,14880.0
United Kingdom,2015.0,37829.0
United Rep. of Tanzania,2010.0,1247.0
United Rep. of Tanzania,2015.0,1150.0
United States of America,2015.0,224508.0
Uruguay,2015.0,68.0
Uzbekistan,2015.0,161.5
Venezuela (Boliv. Rep. of),2010.0,15859.0
Viet Nam,2010.0,1240.0
Yemen,2010.0,2557.0
Zambia,2010.0,325.0
Zambia,2015.0,2606.0
