Country,Year,Unemployment rate - Female
Switzerland,2010.0,5.2
Switzerland,2015.0,4.9
Tajikistan,2010.0,9.7
Thailand,2010.0,0.6
Thailand,2015.0,0.6
Timor-Leste,2010.0,4.0
Timor-Leste,2015.0,5.9
Tunisia,2010.0,18.9
Türkiye,2010.0,11.4
Türkiye,2015.0,12.6
Uganda,2010.0,4.3
Uganda,2015.0,3.3
Ukraine,2010.0,6.9
United Arab Emirates,2015.0,4.5
United Kingdom,2010.0,6.9
United Kingdom,2015.0,5.1
United Rep. of Tanzania,2010.0,3.5
United Rep. of Tanzania,2015.0,2.7
United States of America,2015.0,5.2
Uruguay,2015.0,8.8
Uzbekistan,2015.0,4.9
Venezuela (Boliv. Rep. of),2010.0,6.9
Viet Nam,2010.0,1.1
Yemen,2010.0,20.3
Zambia,2010.0,13.0
Zambia,2015.0,8.5
