Country,Year,"Seats held by women in national parliament, as of February (%)"
Switzerland,2010.0,29.0
Switzerland,2015.0,30.5
Tajikistan,2010.0,17.5
Thailand,2010.0,13.3
Thailand,2015.0,6.1
Timor-Leste,2010.0,29.2
Timor-Leste,2015.0,38.5
Tunisia,2010.0,27.6
Türkiye,2010.0,9.1
Türkiye,2015.0,14.4
Uganda,2010.0,31.5
Uganda,2015.0,35.0
Ukraine,2010.0,8.0
United Arab Emirates,2015.0,17.5
United Kingdom,2010.0,19.5
United Kingdom,2015.0,22.8
United Rep. of Tanzania,2010.0,30.7
United Rep. of Tanzania,2015.0,36.0
United States of America,2015.0,19.4
Uruguay,2015.0,13.1
Uzbekistan,2015.0,16.0
Venezuela (Boliv. Rep. of),2010.0,17.5
Viet Nam,2010.0,25.8
Yemen,2010.0,0.3
Zambia,2010.0,14.0
Zambia,2015.0,12.7
