Country,Year,Unemployment rate - Total
Switzerland,2010.0,4.8
Switzerland,2015.0,4.8
Tajikistan,2010.0,10.9
Thailand,2010.0,0.6
Thailand,2015.0,0.6
Timor-Leste,2010.0,3.3
Timor-Leste,2015.0,4.5
Tunisia,2010.0,13.1
Türkiye,2010.0,10.7
Türkiye,2015.0,10.2
Uganda,2010.0,3.6
Uganda,2015.0,2.7
Ukraine,2010.0,8.1
United Arab Emirates,2015.0,1.8
United Kingdom,2010.0,7.8
United Kingdom,2015.0,5.3
United Rep. of Tanzania,2010.0,3.0
United Rep. of Tanzania,2015.0,2.1
United States of America,2015.0,5.3
Uruguay,2015.0,7.5
Uzbekistan,2015.0,5.2
Venezuela (Boliv. Rep. of),2010.0,7.1
Viet Nam,2010.0,1.1
Yemen,2010.0,12.8
Zambia,2010.0,13.2
Zambia,2015.0,8.3
