Country,Year,Total population of concern to UNHCR (number)
Slovenia,2015.0,330.0
South Africa,2010.0,229735.0
South Africa,2015.0,912592.0
Spain,2010.0,6563.0
Spain,2015.0,17258.0
Sri Lanka,2010.0,435264.0
Sri Lanka,2015.0,51808.0
Suriname,2015.0,1.0
Sweden,2010.0,110809.0
Sweden,2015.0,225509.0
Switzerland,2010.0,61856.0
Switzerland,2015.0,86551.0
Tajikistan,2010.0,7125.0
Thailand,2010.0,649430.0
Thailand,2015.0,625256.0
Timor-Leste,2010.0,5.0
Timor-Leste,2015.0,5.0
Tunisia,2010.0,115.0
Türkiye,2010.0,17833.0
Türkiye,2015.0,1985269.0
Uganda,2010.0,594380.0
Uganda,2015.0,646465.0
Ukraine,2010.0,46360.0
United Arab Emirates,2015.0,802.0
United Kingdom,2010.0,253259.0
United Kingdom,2015.0,155079.0
United Rep. of Tanzania,2010.0,273802.0
United Rep. of Tanzania,2015.0,328183.0
United States of America,2015.0,491730.0
Uruguay,2015.0,357.0
Uzbekistan,2015.0,86821.0
Venezuela (Boliv. Rep. of),2010.0,217406.0
Viet Nam,2010.0,12128.0
Yemen,2010.0,508578.0
Zambia,2010.0,57869.0
Zambia,2015.0,51758.0
