Country,Year,Capital expenditure as % of total expenditure in public institutions (%)
Suriname,2015.0,12.7
Sweden,2010.0,5.6
Sweden,2015.0,5.1
Switzerland,2010.0,8.6
Switzerland,2015.0,10.2
Tajikistan,2010.0,11.899999999999999
Thailand,2010.0,3.3
Thailand,2015.0,3.3
Timor-Leste,2010.0,9.7
Timor-Leste,2015.0,9.7
Tunisia,2010.0,10.4
Türkiye,2010.0,15.8
Türkiye,2015.0,15.8
Uganda,2010.0,13.4
Uganda,2015.0,13.4
Ukraine,2010.0,6.45
United Arab Emirates,2015.0,7.75
United Kingdom,2010.0,11.4
United Kingdom,2015.0,2.6
United Rep. of Tanzania,2010.0,11.75
United Rep. of Tanzania,2015.0,14.5
United States of America,2015.0,8.7
Uruguay,2015.0,3.8
Uzbekistan,2015.0,7.85
Venezuela (Boliv. Rep. of),2010.0,5.25
Viet Nam,2010.0,25.3
Yemen,2010.0,7.45
Zambia,2010.0,16.5
Zambia,2015.0,16.5
