Country,Year,Labour force participation - Total
Switzerland,2010.0,67.0
Switzerland,2015.0,68.1
Tajikistan,2010.0,42.5
Thailand,2010.0,71.6
Thailand,2015.0,69.2
Timor-Leste,2010.0,67.7
Timor-Leste,2015.0,67.1
Tunisia,2010.0,46.9
Türkiye,2010.0,48.1
Türkiye,2015.0,51.2
Uganda,2010.0,70.1
Uganda,2015.0,70.2
Ukraine,2010.0,56.3
United Arab Emirates,2015.0,80.6
United Kingdom,2010.0,62.4
United Kingdom,2015.0,62.7
United Rep. of Tanzania,2010.0,86.3
United Rep. of Tanzania,2015.0,84.0
United States of America,2015.0,62.1
Uruguay,2015.0,64.9
Uzbekistan,2015.0,57.0
Venezuela (Boliv. Rep. of),2010.0,63.9
Viet Nam,2010.0,76.2
Yemen,2010.0,39.4
Zambia,2010.0,59.3
Zambia,2015.0,58.9
