Country,Year,Life expectancy at birth for males (years)
Switzerland,2010.0,80.0
Switzerland,2015.0,80.7
Tajikistan,2010.0,65.4
Thailand,2010.0,72.1
Thailand,2015.0,73.5
Timor-Leste,2010.0,63.8
Timor-Leste,2015.0,65.5
Tunisia,2010.0,72.6
Türkiye,2010.0,71.9
Türkiye,2015.0,73.5
Uganda,2010.0,55.2
Uganda,2015.0,59.1
Ukraine,2010.0,65.7
United Arab Emirates,2015.0,77.6
United Kingdom,2010.0,78.4
United Kingdom,2015.0,79.1
United Rep. of Tanzania,2010.0,58.4
United Rep. of Tanzania,2015.0,62.4
United States of America,2015.0,76.4
Uruguay,2015.0,73.4
Uzbekistan,2015.0,67.7
Venezuela (Boliv. Rep. of),2010.0,68.9
Viet Nam,2010.0,68.8
Yemen,2010.0,65.2
Zambia,2010.0,54.9
Zambia,2015.0,58.8
