Country,Year,Students enrolled in primary education (thousands)
Sri Lanka,2010.0,1721.0
Sri Lanka,2015.0,1778.0
Suriname,2015.0,72.0
Sweden,2010.0,576.0
Sweden,2015.0,792.0
Switzerland,2010.0,493.0
Switzerland,2015.0,490.0
Tajikistan,2010.0,682.0
Thailand,2010.0,5147.0
Thailand,2015.0,5081.0
Timor-Leste,2010.0,230.0
Timor-Leste,2015.0,244.0
Tunisia,2010.0,1030.0
Türkiye,2010.0,6635.0
Türkiye,2015.0,5434.0
Uganda,2010.0,8375.0
Uganda,2015.0,8264.0
Ukraine,2010.0,1540.0
United Arab Emirates,2015.0,461.0
United Kingdom,2010.0,4422.0
United Kingdom,2015.0,4621.0
United Rep. of Tanzania,2010.0,8419.0
United Rep. of Tanzania,2015.0,8298.0
United States of America,2015.0,24786.0
Uruguay,2015.0,317.0
Uzbekistan,2015.0,2135.0
Venezuela (Boliv. Rep. of),2010.0,3458.0
Viet Nam,2010.0,6923.0
Yemen,2010.0,3427.0
Zambia,2010.0,2899.0
Zambia,2015.0,3216.0
