Country,Year,Students enrolled in upper secondary education (thousands)
Sri Lanka,2015.0,1239.0
Suriname,2015.0,15.0
Sweden,2010.0,394.0
Sweden,2015.0,510.0
Switzerland,2010.0,316.0
Switzerland,2015.0,353.0
Tajikistan,2010.0,206.0
Thailand,2010.0,2009.0
Thailand,2015.0,3467.0
Timor-Leste,2010.0,41.0
Timor-Leste,2015.0,51.0
Tunisia,2010.0,580.0
Türkiye,2010.0,3639.0
Türkiye,2015.0,5691.0
Uganda,2010.0,334.5
Uganda,2015.0,462.5
Ukraine,2010.0,844.0
United Arab Emirates,2015.0,1395.5
United Kingdom,2010.0,3081.0
United Kingdom,2015.0,4040.0
United Rep. of Tanzania,2010.0,157.0
United Rep. of Tanzania,2015.0,126.0
United States of America,2015.0,11868.0
Uruguay,2015.0,160.0
Uzbekistan,2015.0,1559.0
Venezuela (Boliv. Rep. of),2010.0,777.0
Viet Nam,2010.0,946.0
Yemen,2010.0,586.0
Zambia,2010.0,63.5
Zambia,2015.0,489.5
