Country,Year,International migrant stock: Male (% total Population)
Romania,2010.0,-0.6206729536996635
Romania,2015.0,-0.5742789271454529
Russian Federation,2015.0,-0.03301528401299631
Rwanda,2010.0,-0.35777346989247033
Rwanda,2015.0,-0.33457645661536506
Saint Lucia,2010.0,-0.29591476782018955
Saint Lucia,2015.0,-0.3268441188563299
Saint Vincent & Grenadines,2010.0,-0.36550580765150537
San Marino,2010.0,0.1757578354809512
Sao Tome and Principe,2010.0,-0.5742789271454529
Saudi Arabia,2015.0,2.5109238387095503
Senegal,2010.0,-0.5201525628322072
Senegal,2015.0,-0.5356172383502775
Serbia,2010.0,-0.04847995953106645
Serbia,2015.0,-0.05621229729010165
Sierra Leone,2015.0,-0.6206729536996635
Singapore,2010.0,2.0779129242035843
Singapore,2015.0,2.209362666107181
Slovakia,2010.0,-0.4892232117960669
Slovakia,2015.0,-0.42736450972378615
Slovenia,2010.0,0.4154603060110392
Slovenia,2015.0,0.32267225290261803
South Africa,2010.0,-0.3191117810972948
South Africa,2015.0,-0.1876620391936982
Spain,2010.0,0.3922632927339339
Spain,2015.0,0.2840105641074426
Sri Lanka,2010.0,-0.6747993180129093
Sri Lanka,2015.0,-0.6747993180129093
Suriname,2015.0,-0.04074762177203138
Sweden,2010.0,0.38453095497489886
Sweden,2015.0,0.554642385673671
Switzerland,2010.0,1.3278761615771806
Switzerland,2015.0,1.389734863649461
Tajikistan,2010.0,-0.4428291852418563
Thailand,2010.0,-0.31137944333825973
Thailand,2015.0,-0.28818243006115446
Timor-Leste,2010.0,-0.6052082781815934
Timor-Leste,2015.0,-0.6206729536996635
Tunisia,2010.0,-0.659334642494839
Türkiye,2010.0,-0.5510819138683477
Türkiye,2015.0,-0.21085905247080347
Uganda,2010.0,-0.5742789271454529
Uganda,2015.0,-0.5201525628322072
Ukraine,2010.0,0.06750510685445997
United Arab Emirates,2015.0,6.292037002877711
United Kingdom,2010.0,0.16802549772191613
United Kingdom,2015.0,0.2685458885893724
United Rep. of Tanzania,2010.0,-0.6361376292177338
United Rep. of Tanzania,2015.0,-0.6361376292177338
United States of America,2015.0,0.45412199480621473
Uruguay,2015.0,-0.5201525628322072
Uzbekistan,2015.0,-0.41963217196475106
Venezuela (Boliv. Rep. of),2010.0,-0.3191117810972948
Viet Nam,2010.0,-0.6825316557719443
Yemen,2010.0,-0.5897436026635232
Zambia,2010.0,-0.6052082781815934
Zambia,2015.0,-0.6284052914586986
