Country,Year,Employment by industry: Industry (%) Female
Afghanistan,2010.0,0.9894598846312384
Afghanistan,2015.0,2.3706448497502457
Albania,2010.0,-0.1406005413752223
Albania,2015.0,-1.4903949391051612
Angola,2015.0,-1.5845666412723662
Argentina,2010.0,-0.34463922940416636
Argentina,2015.0,-1.5845666412723662
Armenia,2010.0,-0.8939741587128626
Armenia,2015.0,-0.6114590522112475
Australia,2010.0,-0.45450621526590573
Australia,2015.0,-0.5643732011276449
Austria,2010.0,0.0006570118755853255
Austria,2015.0,0.09482871404279031
Azerbaijan,2010.0,-0.8468883076292602
Azerbaijan,2015.0,-0.8939741587128626
Bahamas,2015.0,-1.3020515347707509
Bahrain,2015.0,-0.9567552934909992
Bangladesh,2015.0,0.8795928987694993
Barbados,2010.0,-1.3020515347707509
Barbados,2015.0,-0.2661628109314955
Belarus,2010.0,1.9468721899978225
Belarus,2015.0,1.7585287856634126
Belgium,2010.0,-0.21907695984789316
Belgium,2015.0,-0.485896782654974
Belize,2010.0,-0.4702014989604399
Belize,2015.0,-1.568871357577832
Bhutan,2010.0,-0.752716605462055
Bhutan,2015.0,-0.3603345130987008
Bolivia (Plurin. State of),2010.0,-0.5172873500440425
Bolivia (Plurin. State of),2015.0,-0.40742036418230315
Brazil,2010.0,0.20469569990452968
Brazil,2015.0,0.03204757926465356
Bulgaria,2010.0,1.9782627573868914
Bulgaria,2015.0,1.7585287856634126
Burundi,2010.0,-1.678738343439571
Burundi,2015.0,-1.663043059745037
Cabo Verde,2010.0,-1.207879832603546
Cabo Verde,2015.0,-0.21907695984789316
Cambodia,2010.0,0.597077792267884
Cameroon,2010.0,-0.2504675272369614
Cameroon,2015.0,-0.12490525768068818
Canada,2010.0,-0.4702014989604399
Canada,2015.0,-0.45450621526590573
Chile,2010.0,-0.18768639245882465
Chile,2015.0,-1.5217855064942294
China,2010.0,2.6688552399463945
China,2015.0,2.417730700833848
Colombia,2010.0,0.691249494435089
Colombia,2015.0,0.3930391042389397
Costa Rica,2010.0,-0.015038271818948791
Costa Rica,2015.0,-0.2661628109314955
Croatia,2010.0,0.3773438205444055
Croatia,2015.0,0.5656872248788155
Cuba,2010.0,0.016352295570119444
Cyprus,2010.0,-0.3760297967932349
Cyprus,2015.0,-0.8154977402401917
Czechia,2010.0,1.8370052041360836
Czechia,2015.0,1.9311769063032889
Denmark,2010.0,-0.3603345130987008
Denmark,2015.0,-0.297553378320564
Dominican Republic,2015.0,-0.42311564787683725
Ecuador,2010.0,-0.062124122902551426
Ecuador,2015.0,-1.568871357577832
El Salvador,2010.0,1.0679363031039093
El Salvador,2015.0,1.2562797074383192
Estonia,2010.0,1.0051551683257722
Estonia,2015.0,0.7697259129077596
Eswatini,2010.0,1.962567473692357
Eswatini,2015.0,1.9154816226087543
Finland,2010.0,-0.2504675272369614
Finland,2015.0,-0.43881093157137163
France,2010.0,-1.4119185206324902
France,2015.0,-0.32894394570963226
Georgia,2010.0,-1.1450986978254094
Germany,2010.0,0.4558202390170764
Germany,2015.0,0.3616485368498714
Ghana,2015.0,1.3661466933000583
Greece,2010.0,-0.5800684848221791
Greece,2015.0,-0.5643732011276449
Guatemala,2010.0,1.962567473692357
Guatemala,2015.0,0.9737646009367039
Guyana,2010.0,-0.5329826337385766
Honduras,2015.0,1.4760136791617975
Hungary,2010.0,1.303365558521922
Hungary,2015.0,1.1778032889656482
Iceland,2010.0,-0.5800684848221791
Iceland,2015.0,-0.6742401869893841
India,2010.0,0.6441636433514863
India,2015.0,1.0208504520203066
Indonesia,2010.0,0.5342966574897473
Indonesia,2015.0,0.6755542107405549
Ireland,2010.0,-0.45450621526590573
Ireland,2015.0,-0.4702014989604399
Israel,2010.0,-0.34463922940416636
Israel,2015.0,-0.5486779174331108
Italy,2010.0,0.4087343879334738
Italy,2015.0,0.12621928143185882
Jamaica,2010.0,-0.7370213217675209
Jamaica,2015.0,-0.9096694424073967
Japan,2015.0,0.4401249553225423
Kazakhstan,2010.0,0.0006570118755853255
Kazakhstan,2015.0,-0.752716605462055
Kenya,2015.0,-0.43881093157137163
Kyrgyzstan,2010.0,-1.4119185206324902
Kyrgyzstan,2015.0,-0.10920997398615377
Latvia,2010.0,0.34595325315533704
Latvia,2015.0,0.1890004162099953
Lebanon,2010.0,-0.7213260380729866
Lithuania,2010.0,0.8011164802968284
Lithuania,2015.0,0.7697259129077596
Luxembourg,2010.0,-1.03523171196367
Luxembourg,2015.0,-1.0980128467418069
Madagascar,2015.0,-0.2818580946260299
Malawi,2010.0,-1.0823175630472728
Malaysia,2010.0,1.3504514096055245
Malaysia,2015.0,1.2091938563547167
Maldives,2010.0,1.2562797074383192
Maldives,2015.0,1.852700487830618
Malta,2010.0,0.2988674020717347
Malta,2015.0,-0.485896782654974
Mauritius,2010.0,1.4289278280781954
Mauritius,2015.0,0.8638976150749649
Mexico,2010.0,0.7540306292132257
Mexico,2015.0,0.8325070476858967
Mongolia,2010.0,-0.42311564787683725
Mongolia,2015.0,0.23608626729359794
Morocco,2015.0,0.23608626729359794
Mozambique,2010.0,-1.6473477760505029
Namibia,2010.0,-1.2549656836871486
Nepal,2010.0,-0.2661628109314955
Nepal,2015.0,0.047742862959187955
Netherlands (Kingdom of the),2010.0,-0.752716605462055
Netherlands (Kingdom of the),2015.0,-0.8468883076292602
New Zealand,2010.0,-0.2818580946260299
New Zealand,2015.0,-0.21907695984789316
Nicaragua,2010.0,0.785421196602294
Nicaragua,2015.0,0.3773438205444055
Norway,2010.0,-0.7056307543784525
Norway,2015.0,-0.6585449032948499
Oman,2015.0,-0.7841071728511233
Pakistan,2010.0,0.0006570118755853255
Pakistan,2015.0,0.48721080640614467
Panama,2015.0,-0.297553378320564
Paraguay,2010.0,-0.43881093157137163
Paraguay,2015.0,-0.2818580946260299
Peru,2010.0,-0.18768639245882465
Peru,2015.0,-0.297553378320564
Philippines,2015.0,-0.2504675272369614
Poland,2010.0,0.7226400618241575
Poland,2015.0,0.785421196602294
Portugal,2010.0,0.691249494435089
Portugal,2015.0,0.597077792267884
Qatar,2010.0,-1.019536428269136
Qatar,2015.0,-0.8939741587128626
Republic of Korea,2010.0,0.3930391042389397
Republic of Korea,2015.0,0.3616485368498714
Republic of Moldova,2010.0,-0.046428839208017304
Republic of Moldova,2015.0,-0.015038271818948791
Romania,2010.0,1.303365558521922
Romania,2015.0,1.3347561259109901
Russian Federation,2015.0,0.7226400618241575
Rwanda,2010.0,-1.5217855064942294
Rwanda,2015.0,-1.286356251076217
Saint Lucia,2010.0,-0.5015920663495081
Saint Lucia,2015.0,-0.7370213217675209
Saint Vincent & Grenadines,2010.0,-0.6899354706839184
San Marino,2010.0,1.1307174378820457
