Country,Year,Life expectancy at birth for females (years)
Rwanda,2010.0,-1.6869949820152204
Rwanda,2015.0,-1.2763867694115156
Saint Lucia,2010.0,-0.1129968337010191
Saint Lucia,2015.0,-0.017188250760154282
Saint Vincent & Grenadines,2010.0,0.14705503428132602
San Marino,2010.0,1.0640800424296002
Sao Tome and Principe,2010.0,-1.1942651268907756
Saudi Arabia,2015.0,0.28392443848256094
Senegal,2010.0,-1.399569233192628
Senegal,2015.0,-1.0163349014291705
Serbia,2010.0,0.10599421302095595
Serbia,2015.0,0.2976113789026856
Sierra Leone,2015.0,-2.5082114072226296
Singapore,2010.0,1.0230192211692302
Singapore,2015.0,1.159888625370465
Slovakia,2010.0,0.366046081003303
Slovakia,2015.0,0.48922854478441324
Slovenia,2010.0,0.8450889957076251
Slovenia,2015.0,0.9682714594887354
South Africa,2010.0,-2.0839162541988023
South Africa,2015.0,-1.3311345310920104
Spain,2010.0,1.159888625370465
Spain,2015.0,1.2146363870509598
Sri Lanka,2010.0,0.14705503428132602
Sri Lanka,2015.0,0.33867220016305566
Suriname,2015.0,-0.31830094000287146
Sweden,2010.0,0.9545845190686126
Sweden,2015.0,1.0230192211692302
Switzerland,2010.0,1.077766982849725
Switzerland,2015.0,1.1462016849503422
Tajikistan,2010.0,-0.8384046759675636
Thailand,2010.0,0.5302893660447853
Thailand,2015.0,0.7492804127667603
Timor-Leste,2010.0,-1.3037606502517631
Timor-Leste,2015.0,-1.043708782269416
Tunisia,2010.0,0.28392443848256094
Türkiye,2010.0,0.22917667680206813
Türkiye,2015.0,0.44816772352404316
Uganda,2010.0,-2.4260897647018895
Uganda,2015.0,-1.8512382670567027
Ukraine,2010.0,-0.15405765496138918
United Arab Emirates,2015.0,0.6397848894057728
United Kingdom,2010.0,0.7903412340271304
United Kingdom,2015.0,0.8450889957076251
United Rep. of Tanzania,2010.0,-2.001794611678061
United Rep. of Tanzania,2015.0,-1.3037606502517631
United States of America,2015.0,0.6534718298258955
Uruguay,2015.0,0.6671587702460202
Uzbekistan,2015.0,-0.4414834037839836
Venezuela (Boliv. Rep. of),2010.0,0.07862033218070859
Viet Nam,2010.0,0.24286361722219085
Yemen,2010.0,-0.9752740801687985
Zambia,2010.0,-2.46715058596226
Zambia,2015.0,-1.7828035649560852
