Country,Year,Labour force participation - Total
Panama,2015.0,0.23879424008237202
Paraguay,2010.0,0.6962239014496491
Paraguay,2015.0,0.7190953845180132
Peru,2010.0,2.0113341778805705
Peru,2015.0,1.6339547072525673
Philippines,2015.0,-0.02422781520381277
Poland,2010.0,-0.6417578580496366
Poland,2015.0,-0.5502719257761816
Portugal,2010.0,-0.047099298272176134
Portugal,2015.0,-0.3444285781609064
Qatar,2010.0,2.857579051410032
Qatar,2015.0,2.949064983683489
Republic of Korea,2010.0,-0.02422781520381277
Republic of Korea,2015.0,0.1816155324114624
Republic of Moldova,2010.0,-2.2885046389718338
Republic of Moldova,2015.0,-1.956868134480558
Romania,2010.0,-0.7675510149256379
Romania,2015.0,-0.8132939810623655
Russian Federation,2015.0,0.12443682474055276
Rwanda,2010.0,-0.06997078134054031
Rwanda,2015.0,-0.11571374747726786
Saint Lucia,2010.0,0.5933022276420111
Saint Lucia,2015.0,0.9363744736674688
Saint Vincent & Grenadines,2010.0,0.36458739695837256
San Marino,2010.0,1.651108319553841
Sao Tome and Principe,2010.0,-0.8132939810623655
Saudi Arabia,2015.0,-0.573143408844545
Senegal,2010.0,-1.5566171807841906
Senegal,2015.0,-1.8425107191387389
Serbia,2010.0,-1.3622095747030976
Serbia,2015.0,-1.1449304855536413
Sierra Leone,2015.0,-0.6188863749812724
Singapore,2010.0,0.8105813167914684
Singapore,2015.0,1.0964748551460166
Slovakia,2010.0,-0.2986856120241788
Slovakia,2015.0,-0.23007116281908713
Slovenia,2010.0,-0.27581412895581464
Slovenia,2015.0,-0.4930932181052719
South Africa,2010.0,-0.8476012056649109
South Africa,2015.0,-0.44735025196854356
Spain,2010.0,-0.2643783874216334
Spain,2015.0,-0.35586431969508847
Sri Lanka,2010.0,-0.950522879472549
Sri Lanka,2015.0,-0.9047799133358206
Suriname,2015.0,-0.6875008241863642
Sweden,2010.0,0.1816155324114624
Sweden,2015.0,0.2616657231507354
Switzerland,2010.0,0.6161737107103753
Switzerland,2015.0,0.7419668675863759
Tajikistan,2010.0,-2.1855829651641967
Thailand,2010.0,1.1422178212827432
