Country,Year,Unemployment rate - Male
Cuba,2010.0,-1.0146172125114032
Cyprus,2010.0,-0.27919307351111056
Cyprus,2015.0,1.4898001257058102
Czechia,2010.0,-0.21956408926784343
Czechia,2015.0,-0.6568433070518014
Denmark,2010.0,0.21771512851611435
Denmark,2015.0,-0.27919307351111056
Dominican Republic,2015.0,-0.3984510419976445
Ecuador,2010.0,-0.7959776036194244
Ecuador,2015.0,-0.8953592440248694
El Salvador,2010.0,-0.4183273700787334
El Salvador,2015.0,-0.6170906508896233
Estonia,2010.0,2.3444822331926374
Estonia,2015.0,-0.19968776118675452
Eswatini,2010.0,3.298545981084909
Eswatini,2015.0,2.8016377790576845
Finland,2010.0,0.31709676892155936
Finland,2015.0,0.4761073935702715
France,2010.0,0.2375914565972033
France,2015.0,0.6549943463000725
Georgia,2010.0,2.9805247317874852
Germany,2010.0,-0.02080080845695346
Germany,2015.0,-0.4978326824030895
Ghana,2015.0,-0.10030612078130952
Greece,2010.0,0.5158600497324494
Greece,2015.0,2.821514107138773
Guatemala,2010.0,-0.8357302597816024
Guatemala,2015.0,-1.0941225248357593
Guyana,2010.0,0.5754890339757165
Honduras,2015.0,-0.5972143228085345
Hungary,2010.0,0.8140049709487843
Hungary,2015.0,-0.17981143310566558
Iceland,2010.0,0.1580861442728476
Iceland,2015.0,-0.7164722912950685
India,2010.0,0.1580861442728476
India,2015.0,0.07858083194849153
Indonesia,2010.0,-0.47795635432200057
Indonesia,2015.0,-0.5773379947274455
Ireland,2010.0,1.9072030154086794
Ireland,2015.0,0.6351180182189833
Israel,2010.0,0.2773441127593815
Israel,2015.0,-0.47795635432200057
Italy,2010.0,-0.0009244803758645356
Italy,2015.0,0.7543759867055175
Jamaica,2010.0,-0.29906940159219947
Jamaica,2015.0,-0.15993510502457647
Japan,2015.0,-0.7761012755383354
Kazakhstan,2010.0,-0.5177090104841784
Kazakhstan,2015.0,-0.6170906508896233
Kenya,2015.0,-0.9748645563492254
Kyrgyzstan,2010.0,-0.9549882282681363
Kyrgyzstan,2015.0,-0.8556065878626914
Latvia,2010.0,3.0202773879496627
Latvia,2015.0,0.7146233305433393
Lebanon,2010.0,-0.3984510419976445
Lithuania,2010.0,2.7221324667333278
Lithuania,2015.0,0.5158600497324494
Luxembourg,2010.0,-0.7363486193761575
Luxembourg,2015.0,-0.27919307351111056
Madagascar,2015.0,-1.1338751809979375
Malawi,2010.0,-0.6767196351328905
Malaysia,2010.0,-0.8357302597816024
Malaysia,2015.0,-0.9152355721059583
Maldives,2010.0,0.5158600497324494
Maldives,2015.0,-0.15993510502457647
Malta,2010.0,-0.15993510502457647
Malta,2015.0,-0.4183273700787334
Mauritius,2010.0,-0.5972143228085345
Mauritius,2015.0,-0.4382036981598225
Mexico,2010.0,-0.4183273700787334
Mexico,2015.0,-0.6568433070518014
Mongolia,2010.0,-0.08042979270022059
Mongolia,2015.0,-0.4183273700787334
Morocco,2015.0,0.31709676892155936
Mozambique,2010.0,-0.8158539317005133
Namibia,2010.0,2.563121842084616
Nepal,2010.0,0.4562310654891825
Nepal,2015.0,0.4363547374080933
Netherlands (Kingdom of the),2010.0,-0.5972143228085345
Netherlands (Kingdom of the),2015.0,-0.19968776118675452
New Zealand,2010.0,-0.2593167454300215
New Zealand,2015.0,-0.4978326824030895
Nicaragua,2010.0,-0.040677136538042565
Nicaragua,2015.0,-0.6568433070518014
Norway,2010.0,-0.6965959632139794
Norway,2015.0,-0.5773379947274455
Oman,2015.0,-1.0941225248357593
Pakistan,2010.0,-1.3525147898899164
Pakistan,2015.0,-0.9351119001870475
Panama,2015.0,-0.7562249474572464
Paraguay,2010.0,-0.7761012755383354
Paraguay,2015.0,-0.6369669789707125
Peru,2010.0,-0.8754829159437805
Peru,2015.0,-0.8556065878626914
Philippines,2015.0,-0.8953592440248694
Poland,2010.0,0.35684942508373757
Poland,2015.0,-0.040677136538042565
Portugal,2010.0,0.4562310654891825
Portugal,2015.0,0.9332629394353182
Qatar,2010.0,-1.4717727583764504
Qatar,2015.0,-1.4717727583764504
Republic of Korea,2010.0,-0.7562249474572464
Republic of Korea,2015.0,-0.7761012755383354
Republic of Moldova,2010.0,0.31709676892155936
Republic of Moldova,2015.0,-0.31894572967328844
Romania,2010.0,0.01895184770522439
Romania,2015.0,-0.0009244803758645356
Russian Federation,2015.0,-0.3388220577543775
Rwanda,2010.0,0.7344996586244282
Rwanda,2015.0,0.7146233305433393
Saint Lucia,2010.0,1.6885634065167003
Saint Lucia,2015.0,2.264976920868281
Saint Vincent & Grenadines,2010.0,2.48361652976026
San Marino,2010.0,-1.0742461967546704
Sao Tome and Principe,2010.0,0.5953653620568053
Saudi Arabia,2015.0,-0.9947408844303144
Senegal,2010.0,0.11833348811066938
Senegal,2015.0,-0.21956408926784343
Serbia,2010.0,2.165595280462836
Serbia,2015.0,1.8475740311654123
Sierra Leone,2015.0,-0.4382036981598225
Singapore,2010.0,-0.7164722912950685
Singapore,2015.0,-0.7562249474572464
Slovakia,2010.0,1.330789501057098
Slovakia,2015.0,0.5556127058946275
Slovenia,2010.0,-0.02080080845695346
Slovenia,2015.0,0.09845716002958045
South Africa,2010.0,2.821514107138773
South Africa,2015.0,2.7221324667333278
Spain,2010.0,2.4041112174359043
Spain,2015.0,2.6426271544089723
Sri Lanka,2010.0,-0.7959776036194244
Sri Lanka,2015.0,-0.8953592440248694
Suriname,2015.0,-0.6170906508896233
Sweden,2010.0,0.2375914565972033
Sweden,2015.0,0.01895184770522439
Switzerland,2010.0,-0.5972143228085345
Switzerland,2015.0,-0.5574616666463564
Tajikistan,2010.0,0.7941286428676954
Thailand,2010.0,-1.3723911179710053
Thailand,2015.0,-1.3723911179710053
Timor-Leste,2010.0,-0.9549882282681363
Timor-Leste,2015.0,-0.8556065878626914
Tunisia,2010.0,0.6748706743811614
Türkiye,2010.0,0.5754890339757165
Türkiye,2015.0,0.33697309700264827
Uganda,2010.0,-0.8953592440248694
Uganda,2015.0,-1.0543698686735814
Ukraine,2010.0,0.3767257531648265
United Arab Emirates,2015.0,-1.2332568214033823
United Kingdom,2010.0,0.21771512851611435
United Kingdom,2015.0,-0.3984510419976445
United Rep. of Tanzania,2010.0,-1.0146172125114032
United Rep. of Tanzania,2015.0,-1.1736278371601154
United States of America,2015.0,-0.4183273700787334
Uruguay,2015.0,-0.21956408926784343
Uzbekistan,2015.0,-0.4382036981598225
Venezuela (Boliv. Rep. of),2010.0,-0.06055346461913149
Viet Nam,2010.0,-1.2730094775655605
Yemen,2010.0,0.8537576271109625
Zambia,2010.0,1.1519025483272975
Zambia,2015.0,0.11833348811066938
