Country,Year,GDP in current prices (millions of US dollars)
Republic of Moldova,2010.0,-0.3138799585913854
Republic of Moldova,2015.0,-0.3134022550010296
Romania,2010.0,-0.21272219077077173
Romania,2015.0,-0.2078489937548695
Russian Federation,2015.0,0.5276892157498585
Rwanda,2010.0,-0.31441039569496226
Rwanda,2015.0,-0.3129177270736687
Saint Lucia,2010.0,-0.31728468236264845
Saint Lucia,2015.0,-0.31708429501240826
Saint Vincent & Grenadines,2010.0,-0.3177605247701847
San Marino,2010.0,-0.316880185296529
Sao Tome and Principe,2010.0,-0.31808499097506265
Saudi Arabia,2015.0,0.08769815247270454
Senegal,2010.0,-0.30821513848289356
Senegal,2015.0,-0.3071883859607652
Serbia,2010.0,-0.29226294053637625
Serbia,2015.0,-0.29360485334928477
Sierra Leone,2015.0,-0.3155717737743727
Singapore,2010.0,-0.16943169878189318
Singapore,2015.0,-0.1271263928988393
Slovakia,2010.0,-0.26170542061043556
Slovakia,2015.0,-0.2630758715599108
Slovenia,2010.0,-0.28832840005580945
Slovenia,2015.0,-0.29147441941515256
South Africa,2010.0,-0.05927697321148781
South Africa,2015.0,-0.10324927850660141
Spain,2010.0,0.563200583947216
Spain,2015.0,0.4235833343430491
Sri Lanka,2010.0,-0.28301472310594283
Sri Lanka,2015.0,-0.2682009486507279
Suriname,2015.0,-0.3150270676025125
Sweden,2010.0,-0.010607662874057748
Sweden,2015.0,-0.004843579681855647
Switzerland,2010.0,0.05615978920085156
Switzerland,2015.0,0.11740263027300984
Tajikistan,2010.0,-0.31470694415754674
Thailand,2010.0,-0.10658762009063322
Thailand,2015.0,-0.06924546839309402
Timor-Leste,2010.0,-0.317660020897928
Timor-Leste,2015.0,-0.3172183001754172
Tunisia,2010.0,-0.2908782205186176
Türkiye,2010.0,0.16381866861021624
Türkiye,2015.0,0.218008247190485
Uganda,2010.0,-0.29916048406569523
Uganda,2015.0,-0.30003151762525304
Ukraine,2010.0,-0.2338261427618533
United Arab Emirates,2015.0,-0.09602230561821887
United Kingdom,2010.0,1.2274412223942062
United Kingdom,2015.0,1.5025618871770212
United Rep. of Tanzania,2010.0,-0.2986319081449379
United Rep. of Tanzania,2015.0,-0.2888135483774435
United States of America,2015.0,10.976705198106417
Uruguay,2015.0,-0.2827944831389606
Uzbekistan,2015.0,-0.2647317038750531
Venezuela (Boliv. Rep. of),2010.0,-0.07389222149928214
Viet Nam,2010.0,-0.22688455123913784
Yemen,2010.0,-0.29903268284541823
Zambia,2010.0,-0.30563491870069914
Zambia,2015.0,-0.30526640450242465
