Country,Year,Life expectancy at birth for males (years)
Russian Federation,2015.0,-0.6174426135468456
Rwanda,2010.0,-1.4409374671733535
Rwanda,2015.0,-1.0919989698739851
Saint Lucia,2010.0,-0.15684379711167784
Saint Lucia,2015.0,-0.12892871732772998
Saint Vincent & Grenadines,2010.0,0.16417962040374057
San Marino,2010.0,1.3784855910055427
Sao Tome and Principe,2010.0,-1.13387158954991
Saudi Arabia,2015.0,0.6666510565148301
Senegal,2010.0,-1.147829129441885
Senegal,2015.0,-0.9105509512783141
Serbia,2010.0,0.052519301267943116
Serbia,2015.0,0.24792485975558817
Sierra Leone,2015.0,-2.0690267623122165
Singapore,2010.0,1.1551649527339458
Singapore,2015.0,1.3366129713296169
Slovakia,2010.0,0.09439192094386692
Slovakia,2015.0,0.28979747943151196
Slovenia,2010.0,0.7643538357586537
Slovenia,2015.0,0.9737169341382746
South Africa,2010.0,-2.082984302204191
South Africa,2015.0,-1.4409374671733535
Spain,2010.0,1.113292333058022
Spain,2015.0,1.2389101920857952
Sri Lanka,2010.0,-0.2545465763555014
Sri Lanka,2015.0,-0.0033108582999565993
Suriname,2015.0,-0.47786721462709825
Sweden,2010.0,1.1830800325178956
Sweden,2015.0,1.294740351653693
Switzerland,2010.0,1.2528677319777692
Switzerland,2015.0,1.3505705112215927
Tajikistan,2010.0,-0.7849330922505408
Thailand,2010.0,0.15022208051176467
Thailand,2015.0,0.3456276389994117
Timor-Leste,2010.0,-1.0082537305221377
Timor-Leste,2015.0,-0.7709755523585669
Tunisia,2010.0,0.22000977997163831
Türkiye,2010.0,0.12230700072781678
Türkiye,2015.0,0.3456276389994117
Uganda,2010.0,-2.2086021612319637
Uganda,2015.0,-1.6642581054449495
Ukraine,2010.0,-0.7430604725746169
United Arab Emirates,2015.0,0.9178867745703749
United Kingdom,2010.0,1.0295470937061744
United Kingdom,2015.0,1.1272498729499958
United Rep. of Tanzania,2010.0,-1.7619608846887729
United Rep. of Tanzania,2015.0,-1.2036592890097837
United States of America,2015.0,0.7503962958666797
Uruguay,2015.0,0.3316700991074377
Uzbekistan,2015.0,-0.46390967473512235
Venezuela (Boliv. Rep. of),2010.0,-0.2964191960314252
Viet Nam,2010.0,-0.3103767359234011
Yemen,2010.0,-0.8128481720344907
Zambia,2010.0,-2.2504747809078887
Zambia,2015.0,-1.7061307251208742
