Country,Year,Labour force participation - Female
Romania,2015.0,-0.49698707422736615
Russian Federation,2015.0,0.32624418905074043
Rwanda,2010.0,0.22234121407389174
Rwanda,2015.0,0.246318823683934
Saint Lucia,2010.0,0.7498486254948143
Saint Lucia,2015.0,0.9976172581319144
Saint Vincent & Grenadines,2010.0,0.13442331217040512
San Marino,2010.0,1.6290276445296856
Sao Tome and Principe,2010.0,-1.1124123875517753
Saudi Arabia,2015.0,-2.343263014200595
Senegal,2010.0,-1.4161287759456402
Senegal,2015.0,-1.3761660932622368
Serbia,2010.0,-0.7847183895478689
Serbia,2015.0,-0.656837804960979
Sierra Leone,2015.0,0.28628150636733724
Singapore,2010.0,0.5100725293943951
Singapore,2015.0,0.8617441370083432
Slovakia,2010.0,-0.05739756470993077
Slovakia,2015.0,0.03052033719355642
Slovenia,2010.0,0.14241584870708532
Slovenia,2015.0,0.03052033719355642
South Africa,2010.0,-0.361113953103795
South Africa,2015.0,-0.04141249163656926
Spain,2010.0,0.014535264120195472
Spain,2015.0,0.08646809295032115
Sri Lanka,2010.0,-1.4001437028722787
Sri Lanka,2015.0,-1.2882481913587498
Suriname,2015.0,-0.5689199030574918
Sweden,2010.0,0.5979904312978822
Sweden,2015.0,0.7258710158847727
Switzerland,2010.0,0.6779157966646886
Switzerland,2015.0,0.8617441370083432
Tajikistan,2010.0,-1.7678003835595884
Thailand,2010.0,0.9736396485218727
Thailand,2015.0,0.7658336985681758
Timor-Leste,2010.0,0.8457590639349822
Timor-Leste,2015.0,0.7978038447148983
Tunisia,2010.0,-2.127464527710217
Türkiye,2010.0,-1.9676137969766043
Türkiye,2015.0,-1.615942189362656
Uganda,2010.0,1.1095127696454439
Uganda,2015.0,1.213415744622292
Ukraine,2010.0,0.03052033719355642
United Arab Emirates,2015.0,-0.16929307622345965
United Kingdom,2010.0,0.3662068717341437
United Kingdom,2015.0,0.4541247736376309
United Rep. of Tanzania,2010.0,2.588132028931363
United Rep. of Tanzania,2015.0,2.2844156405374973
United States of America,2015.0,0.35821433519746293
Uruguay,2015.0,0.3821919448075046
Uzbekistan,2015.0,-0.8166885356945919
Venezuela (Boliv. Rep. of),2010.0,-0.15330800315009815
Viet Nam,2010.0,1.6050500349196428
Yemen,2010.0,-3.318352471675633
Zambia,2010.0,-0.0014498089531660412
Zambia,2015.0,0.022527800656875662
