Country,Year,Students enrolled in primary education (thousands)
Republic of Moldova,2010.0,-0.2813236437844739
Republic of Moldova,2015.0,-0.28144756462172366
Romania,2010.0,-0.23788939032842732
Romania,2015.0,-0.23138354637281408
Russian Federation,2015.0,0.08064912182212237
Rwanda,2010.0,-0.14761306039196537
Rwanda,2015.0,-0.1381950767609824
Saint Lucia,2010.0,-0.28888281485671025
Saint Lucia,2015.0,-0.28900673569396
Saint Vincent & Grenadines,2010.0,-0.28919261694983467
San Marino,2010.0,-0.28993614197333334
Sao Tome and Principe,2010.0,-0.2879534085773369
Saudi Arabia,2015.0,-0.0735703601352241
Senegal,2010.0,-0.18503715324139777
Senegal,2015.0,-0.16756431518917933
Serbia,2010.0,-0.2725252643397398
Serbia,2015.0,-0.2727731060142393
Sierra Leone,2015.0,-0.2057938934807353
Singapore,2010.0,-0.27370251229361264
Singapore,2015.0,-0.27525152275923487
Slovakia,2010.0,-0.2769244540621068
Slovakia,2015.0,-0.27667661238760727
Slovenia,2010.0,-0.2834302980177201
Slovenia,2015.0,-0.28287265425009606
South Africa,2010.0,0.14514991761063087
South Africa,2015.0,0.17811286031907134
Spain,2010.0,-0.12146576373226259
Spain,2015.0,-0.10355920274966993
Sri Lanka,2010.0,-0.1834261823571507
Sri Lanka,2015.0,-0.17989443849553208
Suriname,2015.0,-0.28559891266959114
Sweden,2010.0,-0.25437086168264755
Sweden,2015.0,-0.2409874112596717
Switzerland,2010.0,-0.25951357642851325
Switzerland,2015.0,-0.25969945768438796
Tajikistan,2010.0,-0.24780305730840943
Thailand,2010.0,0.028850211851715924
Thailand,2015.0,0.02476082422247331
Timor-Leste,2010.0,-0.27580916652685883
Timor-Leste,2015.0,-0.2749417206661104
Tunisia,2010.0,-0.22624083162694836
Türkiye,2010.0,0.1210473147655494
Türkiye,2015.0,0.046632851997058807
Uganda,2010.0,0.2288584431728547
Uganda,2015.0,0.22198083670549212
Ukraine,2010.0,-0.19464101812825543
United Arab Emirates,2015.0,-0.26149630982450967
United Kingdom,2010.0,-0.016071091651327942
United Kingdom,2015.0,-0.0037409683449752124
United Rep. of Tanzania,2010.0,0.23158470159234978
United Rep. of Tanzania,2015.0,0.2240874909387383
United States of America,2015.0,1.2456908732258931
Uruguay,2015.0,-0.2704186101064936
Uzbekistan,2015.0,-0.15777456904644702
Venezuela (Boliv. Rep. of),2010.0,-0.07580093520572007
Viet Nam,2010.0,0.13889191532951717
Yemen,2010.0,-0.0777217081830916
Zambia,2010.0,-0.11043680921703251
Zambia,2015.0,-0.09079535651294299
