Country,Year,All staff compensation as % of total expenditure in public institutions (%)
Slovenia,2015.0,0.1836524561543625
South Africa,2010.0,0.5253519779415672
South Africa,2015.0,-0.6743930096668401
Spain,2010.0,0.335518910282009
Spain,2015.0,0.7075917228947434
Sri Lanka,2010.0,0.6316584958309202
Sri Lanka,2015.0,-0.3630667787051647
Suriname,2015.0,-1.9842411765177914
Sweden,2010.0,-0.30991351976048814
Sweden,2015.0,-0.1428604202200773
Switzerland,2010.0,0.6088785277117734
Switzerland,2015.0,0.540538623354332
Tajikistan,2010.0,-0.002383950152003643
Thailand,2010.0,-1.236298889939132
Thailand,2015.0,-1.236298889939132
Timor-Leste,2010.0,-2.231024164475217
Timor-Leste,2015.0,-2.231024164475217
Tunisia,2010.0,0.3051456194564793
Türkiye,2010.0,0.062159292852245696
Türkiye,2015.0,0.062159292852245696
Uganda,2010.0,-2.4056705867220103
Uganda,2015.0,-2.4056705867220103
Ukraine,2010.0,-0.6326297347817376
United Arab Emirates,2015.0,0.009006033907570278
United Kingdom,2010.0,-0.6364263961349285
United Kingdom,2015.0,0.5101653325288034
United Rep. of Tanzania,2010.0,-0.2036070018711357
United Rep. of Tanzania,2015.0,0.24060237645222993
United States of America,2015.0,0.19124577886074545
Uruguay,2015.0,1.1783777306904477
Uzbekistan,2015.0,-0.10869046804135664
Venezuela (Boliv. Rep. of),2010.0,-0.04035056368391527
Viet Nam,2010.0,-1.88173131998163
Yemen,2010.0,-1.6729149455561159
Zambia,2010.0,0.335518910282009
Zambia,2015.0,0.335518910282009
