Country,Year,International migrant stock: Both sexes (% total population)
Latvia,2015.0,0.37103110680002754
Lebanon,2010.0,0.5920053116809303
Lithuania,2010.0,-0.3000757376530846
Lithuania,2015.0,-0.34099688670510364
Luxembourg,2010.0,1.909666311155943
Luxembourg,2015.0,2.8754054287835924
Madagascar,2015.0,-0.7092872281732749
Malawi,2010.0,-0.5947080108276216
Malaysia,2010.0,-0.013627694288951397
Malaysia,2015.0,0.16642536153993243
Maldives,2010.0,0.5019787837664884
Maldives,2015.0,0.43650494528325795
Malta,2010.0,-0.0627330731513742
Malta,2015.0,0.2728203490751818
Mauritius,2010.0,-0.5537868617756025
Mauritius,2015.0,-0.5292341723443912
Mexico,2010.0,-0.6519976195004482
Mexico,2015.0,-0.6519976195004482
Mongolia,2010.0,-0.6683660791212559
Mongolia,2015.0,-0.6601818493108521
Morocco,2015.0,-0.6929187685524673
Mozambique,2010.0,-0.6110764704484292
Namibia,2010.0,-0.31644419727389217
Nepal,2010.0,-0.537418402154795
Nepal,2015.0,-0.5619710915860063
Netherlands (Kingdom of the),2010.0,0.18279382116073997
Netherlands (Kingdom of the),2015.0,0.2482676596439705
New Zealand,2010.0,1.0585064108739473
New Zealand,2015.0,1.1239802493571776
Nicaragua,2010.0,-0.6683660791212559
Nicaragua,2015.0,-0.6683660791212559
Norway,2010.0,0.1582411317295285
Norway,2015.0,0.4610576347144694
Oman,2015.0,2.842668509541977
Pakistan,2010.0,-0.537418402154795
Pakistan,2015.0,-0.5701553213964102
Panama,2015.0,-0.3328126568946998
Paraguay,2010.0,-0.5046814829131797
Paraguay,2015.0,-0.5292341723443912
Peru,2010.0,-0.6847345387420635
Peru,2015.0,-0.6765503089316597
Philippines,2015.0,-0.7011029983628712
Poland,2010.0,-0.578339551206814
Poland,2015.0,-0.5865237810172178
Portugal,2010.0,-0.12820691163460463
Portugal,2015.0,-0.038180383720162726
Qatar,2010.0,5.7071489431833085
Qatar,2015.0,4.6677517572620255
Republic of Korea,2010.0,-0.5619710915860063
Republic of Korea,2015.0,-0.4964972531027759
Republic of Moldova,2010.0,-0.4555761040507569
Republic of Moldova,2015.0,-0.5046814829131797
Romania,2010.0,-0.6438133896900444
Romania,2015.0,-0.6028922406380254
Russian Federation,2015.0,-0.0627330731513742
Rwanda,2010.0,-0.36554957613631506
Rwanda,2015.0,-0.34918111651550743
Saint Lucia,2010.0,-0.29189150784268075
Saint Lucia,2015.0,-0.324628427084296
Saint Vincent & Grenadines,2010.0,-0.3737338059467188
San Marino,2010.0,0.559268392439315
Sao Tome and Principe,2010.0,-0.5947080108276216
Saudi Arabia,2015.0,2.0651666775536155
Senegal,2010.0,-0.5537868617756025
Senegal,2015.0,-0.5701553213964102
Serbia,2010.0,0.03547768457347141
Serbia,2015.0,0.027293454763067635
Sierra Leone,2015.0,-0.6519976195004482
Singapore,2010.0,2.7362735220067274
Singapore,2015.0,2.9163265778356116
Slovakia,2010.0,-0.4964972531027759
Slovakia,2015.0,-0.4473918742403531
Slovenia,2010.0,0.2973730385063933
Slovenia,2015.0,0.22371497021275902
South Africa,2010.0,-0.3819180357571227
South Africa,2015.0,-0.24278612898025795
Spain,2010.0,0.37921533661043133
Spain,2015.0,0.31374149812720087
Sri Lanka,2010.0,-0.7011029983628712
Sri Lanka,2015.0,-0.7011029983628712
Suriname,2015.0,-0.08728576258258561
Sweden,2010.0,0.4446891750936617
Sweden,2015.0,0.6247422309225453
Switzerland,2010.0,1.459533671583734
Switzerland,2015.0,1.5086390504461564
Tajikistan,2010.0,-0.41465495499873783
Thailand,2010.0,-0.324628427084296
Thailand,2015.0,-0.3000757376530846
Timor-Leste,2010.0,-0.6274449300692369
Timor-Leste,2015.0,-0.6601818493108521
Tunisia,2010.0,-0.6847345387420635
Türkiye,2010.0,-0.5619710915860063
Türkiye,2015.0,-0.26733881841146934
Uganda,2010.0,-0.5947080108276216
Uganda,2015.0,-0.537418402154795
Ukraine,2010.0,0.14187267210872095
United Arab Emirates,2015.0,6.345518868394805
United Kingdom,2010.0,0.19916228078154752
United Kingdom,2015.0,0.33010995774800855
United Rep. of Tanzania,2010.0,-0.6601818493108521
United Rep. of Tanzania,2015.0,-0.6601818493108521
United States of America,2015.0,0.5101630135768922
Uruguay,2015.0,-0.5292341723443912
Uzbekistan,2015.0,-0.40647072518833405
Venezuela (Boliv. Rep. of),2010.0,-0.3328126568946998
Viet Nam,2010.0,-0.7092872281732749
Yemen,2010.0,-0.619260700258833
Zambia,2010.0,-0.6274449300692369
Zambia,2015.0,-0.6519976195004482
