Country,Year,Public expenditure on education (% of GDP)
Luxembourg,2015.0,-0.5660140600776826
Madagascar,2015.0,-1.5668304911582414
Malawi,2010.0,-0.7536671409052873
Malaysia,2010.0,0.18459826323273684
Malaysia,2015.0,0.12204723629020213
Maldives,2010.0,-0.6911161139627523
Maldives,2015.0,-0.06560584453740315
Malta,2010.0,0.997761613485691
Malta,2015.0,0.18459826323273684
Mauritius,2010.0,-0.6911161139627523
Mauritius,2015.0,0.05949620934766685
Mexico,2010.0,0.3097003171178068
Mexico,2015.0,0.3097003171178068
Mongolia,2010.0,-0.06560584453740315
Mongolia,2015.0,-0.19070789842247257
Morocco,2015.0,-0.7849426543765546
Mozambique,2010.0,0.43480237100287683
Namibia,2010.0,2.1862311253938547
Nepal,2010.0,-0.6911161139627523
Nepal,2015.0,-0.8787691947903573
Netherlands (Kingdom of the),2010.0,0.49735339794541156
Netherlands (Kingdom of the),2015.0,0.37225134406034155
New Zealand,2010.0,1.4356188020834357
New Zealand,2015.0,0.997761613485691
Nicaragua,2010.0,-0.12815687147993787
Nicaragua,2015.0,-0.37836097925007783
Norway,2010.0,1.247965721255831
Norway,2015.0,1.810924963738645
Oman,2015.0,0.15332274976146948
Pakistan,2010.0,-1.5042794642157067
Pakistan,2015.0,-1.2540753564455667
Panama,2015.0,-1.066422275617962
Paraguay,2010.0,-1.191524329503032
Paraguay,2015.0,-0.8787691947903573
Peru,2010.0,-1.128973302560497
Peru,2015.0,-0.44091200619261256
Philippines,2015.0,-0.7536671409052873
Poland,2010.0,0.24714929017527157
Poland,2015.0,0.05949620934766685
Portugal,2010.0,0.43480237100287683
Portugal,2015.0,0.12204723629020213
Qatar,2010.0,-0.12815687147993787
Qatar,2015.0,-0.12815687147993787
Republic of Korea,2010.0,-0.7536671409052873
Republic of Korea,2015.0,-0.7536671409052873
Republic of Moldova,2010.0,1.810924963738645
Republic of Moldova,2015.0,0.6850064787730162
Romania,2010.0,-0.8162181678478223
Romania,2015.0,-1.003871248675427
Russian Federation,2015.0,-0.5660140600776826
Rwanda,2010.0,-0.06560584453740315
Rwanda,2015.0,-0.6911161139627523
Saint Lucia,2010.0,-0.7536671409052873
Saint Lucia,2015.0,-0.5034630331351476
Saint Vincent & Grenadines,2010.0,0.05949620934766685
San Marino,2010.0,-1.3166263833881018
Sao Tome and Principe,2010.0,3.1244965295318785
Saudi Arabia,2015.0,-1.2227998429742994
Senegal,2010.0,0.3097003171178068
Senegal,2015.0,0.49735339794541156
Serbia,2010.0,-0.5034630331351476
Serbia,2015.0,-0.5034630331351476
Sierra Leone,2015.0,-0.941320221732892
Singapore,2010.0,-1.003871248675427
Singapore,2015.0,-1.128973302560497
Slovakia,2010.0,-0.44091200619261256
Slovakia,2015.0,-0.06560584453740315
Slovenia,2010.0,0.49735339794541156
Slovenia,2015.0,0.12204723629020213
South Africa,2010.0,0.24714929017527157
South Africa,2015.0,0.49735339794541156
Spain,2010.0,0.12204723629020213
Spain,2015.0,-0.2532589253650079
Sri Lanka,2010.0,-1.879585625870916
Sri Lanka,2015.0,-1.6293815181007765
Suriname,2015.0,0.49735339794541156
Sweden,2010.0,1.122863667370761
Sweden,2015.0,1.6858229098535757
Switzerland,2010.0,0.05949620934766685
Switzerland,2015.0,0.18459826323273684
Tajikistan,2010.0,-0.44091200619261256
Thailand,2010.0,-0.7536671409052873
Thailand,2015.0,-0.5034630331351476
Timor-Leste,2010.0,4.000210906727368
Timor-Leste,2015.0,0.997761613485691
Tunisia,2010.0,0.8101085326580862
Türkiye,2010.0,-0.5660140600776826
Türkiye,2015.0,-0.2532589253650079
Uganda,2010.0,-1.879585625870916
Uganda,2015.0,-1.5042794642157067
Ukraine,2010.0,1.6858229098535757
United Arab Emirates,2015.0,-1.879585625870916
United Kingdom,2010.0,0.6224554518304816
United Kingdom,2015.0,0.5599044248879462
United Rep. of Tanzania,2010.0,-0.12815687147993787
United Rep. of Tanzania,2015.0,-0.3158099523075426
United States of America,2015.0,0.12204723629020213
Uruguay,2015.0,-0.06560584453740315
Uzbekistan,2015.0,0.49735339794541156
Venezuela (Boliv. Rep. of),2010.0,-0.3158099523075426
Viet Nam,2010.0,-0.44091200619261256
Yemen,2010.0,-0.19070789842247257
Zambia,2010.0,-0.8162181678478223
Zambia,2015.0,-0.06560584453740315
