Country,Year,"Asylum seekers, including pending cases (number)"
Republic of Korea,2015.0,-0.13938995207611315
Republic of Moldova,2010.0,-0.21967702167266787
Republic of Moldova,2015.0,-0.2183498305202054
Romania,2010.0,-0.21476801343404164
Romania,2015.0,-0.21876557714627798
Russian Federation,2015.0,-0.1822278448164378
Rwanda,2010.0,-0.21633505840923828
Rwanda,2015.0,-0.21692669783864926
Saint Lucia,2010.0,-0.22087629078633877
Saint Lucia,2015.0,-0.22094025180573457
Saint Vincent & Grenadines,2010.0,-0.22090827129603666
San Marino,2010.0,-0.21886151867537165
Sao Tome and Principe,2010.0,-0.22090827129603666
Saudi Arabia,2015.0,-0.21948513861448052
Senegal,2010.0,-0.18616144750927838
Senegal,2015.0,-0.17370503898194992
Serbia,2010.0,-0.21763026905200286
Serbia,2015.0,-0.2135527540655218
Sierra Leone,2015.0,-0.2207163882378493
Singapore,2010.0,-0.12370351206929772
Singapore,2015.0,1.2424638865874729
Slovakia,2010.0,-0.21670283427076403
Slovakia,2015.0,-0.21999682676964677
Slovenia,2010.0,-0.21903741147871006
Slovenia,2015.0,-0.2202846513569278
South Africa,2010.0,2.5245865057581867
South Africa,2015.0,12.540530357530892
Spain,2010.0,-0.17760666116509258
Spain,2015.0,-0.04475962388005441
Sri Lanka,2010.0,-0.21876557714627798
Sri Lanka,2015.0,-0.21360072483006862
Suriname,2015.0,-0.2206364369636046
Sweden,2010.0,0.07700616679466463
Sweden,2015.0,0.6766407236301162
Switzerland,2010.0,-0.01444210068645398
Switzerland,2015.0,0.05222127177879929
Tajikistan,2010.0,-0.1944923702855789
Thailand,2010.0,-0.05707212011374235
Thailand,2015.0,-0.09039581121894451
Timor-Leste,2010.0,-0.22090827129603666
Timor-Leste,2015.0,-0.22090827129603666
Tunisia,2010.0,-0.2206044564539067
Türkiye,2010.0,-0.11359767100476426
Türkiye,2015.0,2.1029714561560438
Uganda,2010.0,0.11168902956202714
Uganda,2015.0,0.38774478927422007
Ukraine,2010.0,-0.17330528261072628
United Arab Emirates,2015.0,-0.21492791598253108
United Kingdom,2010.0,0.016962759836874737
United Kingdom,2015.0,0.3839231183653221
United Rep. of Tanzania,2010.0,-0.20103238451879757
United Rep. of Tanzania,2015.0,-0.20258343923914526
United States of America,2015.0,3.368967903311596
Uruguay,2015.0,-0.21988489498570415
Uzbekistan,2015.0,-0.21838980615732775
Venezuela (Boliv. Rep. of),2010.0,0.03261721933399226
Viet Nam,2010.0,-0.20114431630274018
Yemen,2010.0,-0.18008515066667913
Zambia,2010.0,-0.2157753994895252
Zambia,2015.0,-0.1793016281790808
