Country,Year,Life expectancy at birth for both sexes (years)
Japan,2015.0,1.412234469055231
Kazakhstan,2010.0,-0.790005932790445
Kazakhstan,2015.0,-0.4276119426133074
Kenya,2015.0,-1.6541762170590002
Kyrgyzstan,2010.0,-0.7621294720075878
Kyrgyzstan,2015.0,-0.5251795553533061
Latvia,2010.0,-0.10703264361045652
Latvia,2015.0,0.1299172730438253
Lebanon,2010.0,0.6177553367438164
Lithuania,2010.0,-0.05127972204474245
Lithuania,2015.0,0.1159790426523958
Luxembourg,2010.0,0.9522728661380949
Luxembourg,2015.0,1.1195316308352352
Madagascar,2015.0,-1.3196586876647207
Malawi,2010.0,-2.4207788885875576
Malaysia,2010.0,0.08810258186954073
Malaysia,2015.0,0.18567019460953738
Maldives,2010.0,0.5480641847866748
Maldives,2015.0,0.8268287926152412
Malta,2010.0,1.1195316308352352
Malta,2015.0,1.2867903955323754
Mauritius,2010.0,0.03234966030382667
Mauritius,2015.0,0.17173196421810985
Mexico,2010.0,0.0602261210866837
Mexico,2015.0,0.1299172730438253
Mongolia,2010.0,-0.9154500063132986
Mongolia,2015.0,-0.5948707073104477
Morocco,2015.0,-0.12097087400188404
Mozambique,2010.0,-2.72741995719898
Namibia,2010.0,-2.4765318101532707
Nepal,2010.0,-0.9712029278790126
Nepal,2015.0,-0.873635315139014
Netherlands (Kingdom of the),2010.0,0.9801493269209519
Netherlands (Kingdom of the),2015.0,1.0777169396609505
New Zealand,2010.0,1.0219640180952365
New Zealand,2015.0,1.1474080916180922
Nicaragua,2010.0,-0.2464149475247397
Nicaragua,2015.0,-0.10703264361045652
Norway,2010.0,1.008025787703809
Norway,2015.0,1.1892227827923767
Oman,2015.0,0.5480641847866748
Pakistan,2010.0,-1.3057204572732912
Pakistan,2015.0,-1.1245234621847233
Panama,2015.0,0.5201877240038179
Paraguay,2010.0,-0.26035317791616724
Paraguay,2015.0,-0.07915618282759948
Peru,2010.0,-0.00946503087045789
Peru,2015.0,0.25536134656667897
Philippines,2015.0,-0.34398256026473834
Poland,2010.0,0.3529289593066776
Poland,2015.0,0.5062494936123902
Portugal,2010.0,0.8686434837895258
Portugal,2015.0,1.035902248486666
Qatar,2010.0,0.6456317975266734
Qatar,2015.0,0.8825817141809533
Republic of Korea,2010.0,0.9801493269209519
Republic of Korea,2015.0,1.2310374739666612
Republic of Moldova,2010.0,-0.6088089377018752
Republic of Moldova,2015.0,-0.6366853984847323
Romania,2010.0,0.03234966030382667
Romania,2015.0,0.14385550343525283
Russian Federation,2015.0,-0.23247671713331217
Rwanda,2010.0,-1.5705468347104299
Rwanda,2015.0,-1.1802763837504375
Saint Lucia,2010.0,-0.14884733478474108
Saint Lucia,2015.0,-0.09309441321902899
Saint Vincent & Grenadines,2010.0,0.1299172730438253
San Marino,2010.0,1.2449757043580907
Sao Tome and Principe,2010.0,-1.194214614141865
Saudi Arabia,2015.0,0.4365583416552487
Senegal,2010.0,-1.277843996490436
Senegal,2015.0,-0.9572646974875831
Serbia,2010.0,0.08810258186954073
Serbia,2015.0,0.283237807349536
Sierra Leone,2015.0,-2.3092730454561305
Singapore,2010.0,1.1055934004438075
Singapore,2015.0,1.2589139347495184
Slovakia,2010.0,0.24142311617525145
Slovakia,2015.0,0.39474365048096216
Slovenia,2010.0,0.8268287926152412
Slovenia,2015.0,0.9801493269209519
South Africa,2010.0,-2.0723231288018495
South Africa,2015.0,-1.3614733788390052
Spain,2010.0,1.1474080916180922
Spain,2015.0,1.2310374739666612
Sri Lanka,2010.0,-0.07915618282759948
Sri Lanka,2015.0,0.15779373382668233
Suriname,2015.0,-0.41367371222187993
Sweden,2010.0,1.0777169396609505
Sweden,2015.0,1.1752845524009492
Switzerland,2010.0,1.1892227827923767
Switzerland,2015.0,1.2589139347495184
Tajikistan,2010.0,-0.845758854356157
Thailand,2010.0,0.32505249852382057
Thailand,2015.0,0.5480641847866748
Timor-Leste,2010.0,-1.1802763837504375
Timor-Leste,2015.0,-0.9293882367047281
Tunisia,2010.0,0.22748488578382392
Türkiye,2010.0,0.18567019460953738
Türkiye,2015.0,0.39474365048096216
Uganda,2010.0,-2.323211275847559
Uganda,2015.0,-1.7656820601904262
Ukraine,2010.0,-0.441550173004737
United Arab Emirates,2015.0,0.7571376406580996
United Kingdom,2010.0,0.9243964053552398
United Kingdom,2015.0,0.9940875573123814
United Rep. of Tanzania,2010.0,-1.9050643641047094
United Rep. of Tanzania,2015.0,-1.2639057660990065
United States of America,2015.0,0.715322949483815
Uruguay,2015.0,0.5201877240038179
Uzbekistan,2015.0,-0.4554884033961645
Venezuela (Boliv. Rep. of),2010.0,-0.12097087400188404
Viet Nam,2010.0,-0.03734149165331493
Yemen,2010.0,-0.901511775921871
Zambia,2010.0,-2.3650259670218445
Zambia,2015.0,-1.7517438297989978
