Country,Year,GDP real rates of growth (percent)
Romania,2010.0,-1.8506301033986052
Romania,2015.0,-0.11057044658433297
Russian Federation,2015.0,-1.3849803360821098
Rwanda,2010.0,0.8942527355196833
Rwanda,2015.0,1.2863788553651534
Saint Lucia,2010.0,-0.7722832738235633
Saint Lucia,2015.0,-0.8703148037849308
Saint Vincent & Grenadines,2010.0,-1.9976773983406564
San Marino,2010.0,-2.0221852808309984
Sao Tome and Principe,2010.0,0.7472054405776323
Saudi Arabia,2015.0,0.11000049582874366
Senegal,2010.0,-0.06155468160364931
Senegal,2015.0,0.6736817931066067
Serbia,2010.0,-0.7232675088428797
Serbia,2015.0,-0.4536808014491191
Sierra Leone,2015.0,-5.918938596795355
Singapore,2010.0,2.707836039804981
Singapore,2015.0,-0.15958621156501673
Slovakia,2010.0,0.7472054405776323
Slovakia,2015.0,0.3795872032225043
Slovenia,2010.0,-0.5762202139008283
Slovenia,2015.0,-0.3556492714877516
South Africa,2010.0,-0.15958621156501673
South Africa,2015.0,-0.5762202139008283
Spain,2010.0,-0.8458069212945889
Spain,2015.0,0.03647684835771812
Sri Lanka,2010.0,1.0658079129520766
Sri Lanka,2015.0,0.3305714382418205
Suriname,2015.0,-1.5320276310241612
Sweden,2010.0,0.5756502631452391
Sweden,2015.0,0.2080320257901112
Switzerland,2010.0,-0.0860625640939912
Switzerland,2015.0,-0.47818868393946096
Tajikistan,2010.0,0.6981896755969484
Thailand,2010.0,0.9432685005003671
Thailand,2015.0,-0.13507832907467485
Timor-Leste,2010.0,1.4579340327975463
Timor-Leste,2015.0,-0.2086019765457005
Tunisia,2010.0,-0.037046799113307424
Türkiye,2010.0,1.163839442913444
Türkiye,2015.0,0.6001581456355809
Uganda,2010.0,3.9822459293027577
Uganda,2015.0,0.6001581456355809
Ukraine,2010.0,-0.821299038804247
United Arab Emirates,2015.0,0.3550793207321623
United Kingdom,2010.0,-0.30663350650706794
United Kingdom,2015.0,-0.30663350650706794
United Rep. of Tanzania,2010.0,0.6736817931066067
United Rep. of Tanzania,2015.0,0.624666028125923
United States of America,2015.0,-0.23310985903604228
Uruguay,2015.0,-0.4536808014491191
Uzbekistan,2015.0,0.8697448530293416
Venezuela (Boliv. Rep. of),2010.0,-1.2624409236304004
Viet Nam,2010.0,1.9480916826043835
Yemen,2010.0,0.11000049582874366
Zambia,2010.0,1.6294892102299396
Zambia,2015.0,-0.18409409405535862
