Country,Year,"Seats held by women in national parliament, as of February (%)"
Romania,2010.0,-0.9346728932997831
Romania,2015.0,-0.7347093449149329
Russian Federation,2015.0,-0.7434034122360134
Rwanda,2010.0,2.9689633338653367
Rwanda,2015.0,3.62101838294637
Saint Lucia,2010.0,-0.9607550952630245
Saint Lucia,2015.0,-0.47388732528251953
Saint Vincent & Grenadines,2010.0,-0.039183959228497274
San Marino,2010.0,-0.47388732528251953
Sao Tome and Principe,2010.0,-1.2911296534640813
Saudi Arabia,2015.0,-0.19567717100794535
Senegal,2010.0,0.04775671398230718
Senegal,2015.0,1.7865701781983967
Serbia,2010.0,-0.04787802654957753
Serbia,2015.0,1.0301863212643976
Sierra Leone,2015.0,-0.8477322200889786
Singapore,2010.0,0.10861518522987024
Singapore,2015.0,0.2738024643303989
Slovakia,2010.0,-0.3608644501084737
Slovakia,2015.0,-0.3000059788609106
Slovenia,2010.0,-0.6738508736673697
Slovenia,2015.0,1.26492613893357
South Africa,2010.0,1.9430633899778444
South Africa,2015.0,1.682241370345431
Spain,2010.0,1.2562320716124893
Spain,2015.0,1.6474651010611094
Sri Lanka,2010.0,-1.421540663280288
Sri Lanka,2015.0,-1.421540663280288
Suriname,2015.0,-0.8998966240154612
Sweden,2010.0,2.1082506690783727
Sweden,2015.0,1.8648167840881205
Switzerland,2010.0,0.5954829552103753
Switzerland,2015.0,0.725893965026582
Tajikistan,2010.0,-0.40433478671387596
Thailand,2010.0,-0.7694856141992545
Thailand,2015.0,-1.3954584613170467
Timor-Leste,2010.0,0.6128710898525361
Timor-Leste,2015.0,1.4214193507130177
Tunisia,2010.0,0.4737660127152492
Türkiye,2010.0,-1.1346364416846335
Türkiye,2015.0,-0.6738508736673697
Uganda,2010.0,0.8128346382373864
Uganda,2015.0,1.117126994475202
Ukraine,2010.0,-1.2302711822165182
United Arab Emirates,2015.0,-0.40433478671387596
United Kingdom,2010.0,-0.23045344029226703
United Kingdom,2015.0,0.05645078130338775
United Rep. of Tanzania,2010.0,0.7432820996687428
United Rep. of Tanzania,2015.0,1.2040676676860065
United States of America,2015.0,-0.23914750761334758
Uruguay,2015.0,-0.7868737488414156
Uzbekistan,2015.0,-0.5347457965300826
Venezuela (Boliv. Rep. of),2010.0,-0.40433478671387596
Viet Nam,2010.0,0.3172728009358011
Yemen,2010.0,-1.8997143659397124
Zambia,2010.0,-0.7086271429516915
Zambia,2015.0,-0.8216500181257373
