Country,Year,"Maternal mortality ratio (deaths per 100,000 population)"
Poland,2010.0,-0.6054950697072731
Poland,2015.0,-0.6119588949300667
Portugal,2010.0,-0.5602482931477176
Portugal,2015.0,-0.5602482931477176
Qatar,2010.0,-0.5602482931477176
Qatar,2015.0,-0.5796397688160986
Republic of Korea,2010.0,-0.5731759435933049
Republic of Korea,2015.0,-0.5861035940388922
Republic of Moldova,2010.0,-0.5085376913653686
Republic of Moldova,2015.0,-0.5150015165881623
Romania,2010.0,-0.4826823904741941
Romania,2015.0,-0.5279291670337495
Russian Federation,2015.0,-0.5602482931477176
Rwanda,2010.0,1.870149990622687
Rwanda,2015.0,1.3918269241359584
Saint Lucia,2010.0,-0.15302730411171897
Saint Lucia,2015.0,-0.10778052755216357
Saint Vincent & Grenadines,2010.0,-0.3340144103499406
San Marino,2010.0,-0.6054950697072731
Sao Tome and Principe,2010.0,0.4093254902713268
Saudi Arabia,2015.0,-0.5214653418109558
Senegal,2010.0,2.2838348048814794
Senegal,2015.0,1.4500013511411012
Serbia,2010.0,-0.5343929922565431
Serbia,2015.0,-0.5408568174793368
Sierra Leone,2015.0,3.1758426856270003
Singapore,2010.0,-0.5731759435933049
Singapore,2015.0,-0.5731759435933049
Slovakia,2010.0,-0.5925674192616858
Slovakia,2015.0,-0.5925674192616858
Slovenia,2010.0,-0.5861035940388922
Slovenia,2015.0,-0.5925674192616858
South Africa,2010.0,0.790691178416151
South Africa,2015.0,0.2865128110382479
Spain,2010.0,-0.5990312444844794
Spain,2015.0,-0.5990312444844794
Sri Lanka,2010.0,-0.38572501213228966
Sri Lanka,2015.0,-0.43097178869184505
Suriname,2015.0,0.18309160747354977
Sweden,2010.0,-0.5925674192616858
Sweden,2015.0,-0.5990312444844794
Switzerland,2010.0,-0.5731759435933049
Switzerland,2015.0,-0.5861035940388922
Tajikistan,2010.0,-0.4180441382462578
Thailand,2010.0,-0.3986526625778769
Thailand,2015.0,-0.43097178869184505
Timor-Leste,2010.0,1.8055117383947508
Timor-Leste,2015.0,1.2173036431205304
Tunisia,2010.0,-0.34047823557273427
Türkiye,2010.0,-0.4826823904741941
Türkiye,2015.0,-0.502073866142575
Uganda,2010.0,1.7796564375035764
Uganda,2015.0,1.4370737006955139
Ukraine,2010.0,-0.5150015165881623
United Arab Emirates,2015.0,-0.5667121183705113
United Kingdom,2010.0,-0.5602482931477176
United Kingdom,2015.0,-0.5731759435933049
United Rep. of Tanzania,2010.0,2.51653251290205
United Rep. of Tanzania,2015.0,1.508175778146244
United States of America,2015.0,-0.5150015165881623
Uruguay,2015.0,-0.5150015165881623
Uzbekistan,2015.0,-0.42450796346905145
Venezuela (Boliv. Rep. of),2010.0,0.09906187957723259
Viet Nam,2010.0,-0.05606992576981453
Yemen,2010.0,0.3899340146029459
Zambia,2010.0,1.1074186143330387
Zambia,2015.0,0.4481084416080886
