Country,Year,Current health expenditure (% of GDP)
Türkiye,2015.0,-1.0753508965655338
Uganda,2010.0,-0.030420874040772882
Uganda,2015.0,-0.6883397771119186
Ukraine,2010.0,-0.030420874040772882
United Arab Emirates,2015.0,-1.2688564562923412
United Kingdom,2010.0,1.2080147082107957
United Kingdom,2015.0,1.1306124843200729
United Rep. of Tanzania,2010.0,-0.649638665166557
United Rep. of Tanzania,2015.0,-1.2688564562923412
United States of America,2015.0,3.7235869846592937
Uruguay,2015.0,0.5500958051396502
Uzbekistan,2015.0,-0.8431442248933645
Venezuela (Boliv. Rep. of),2010.0,-0.030420874040772882
Viet Nam,2010.0,-0.8431442248933645
Yemen,2010.0,-0.649638665166557
Zambia,2010.0,-1.2301553443469797
Zambia,2015.0,-0.9592475607294491
