Country,Year,Current expenditure other than staff compensation as % of total expenditure in public institutions (%)
Republic of Moldova,2015.0,0.4503182501868605
Romania,2010.0,0.2971911713205839
Romania,2015.0,0.6570398066563339
Russian Federation,2015.0,-0.10093923373173547
Rwanda,2010.0,0.14406409245430732
Rwanda,2015.0,1.3920497852144613
Saint Lucia,2010.0,-0.6904784873669003
Saint Lucia,2015.0,-0.6904784873669003
Saint Vincent & Grenadines,2010.0,-1.3489249264918899
San Marino,2010.0,-1.4561138816982833
Sao Tome and Principe,2010.0,0.4464900732152035
Saudi Arabia,2015.0,-0.06648564098682301
Senegal,2010.0,-0.3765679756910332
Senegal,2015.0,0.02921878330459986
Serbia,2010.0,-1.5250210671881077
Serbia,2015.0,-0.8933718668647167
Sierra Leone,2015.0,0.9403249025589455
Singapore,2010.0,-0.4684442230107991
Singapore,2015.0,-0.08562652584510759
Slovakia,2010.0,0.5804762672231956
Slovakia,2015.0,0.6723525145429614
Slovenia,2010.0,-0.14687735739161828
Slovenia,2015.0,-0.07031381795847998
South Africa,2010.0,-0.4684442230107991
South Africa,2015.0,1.0743110965669376
Spain,2010.0,-0.42250609935091626
Spain,2015.0,-0.3842243296343471
Sri Lanka,2010.0,-1.019701706929395
Sri Lanka,2015.0,-0.3765679756910332
Suriname,2015.0,0.5498508514499401
Sweden,2010.0,0.6187580369397647
Sweden,2015.0,0.48860001990342966
Switzerland,2010.0,-0.5373514085006237
Switzerland,2015.0,-0.5986022400471342
Tajikistan,2010.0,-0.1736745961932165
Thailand,2010.0,1.7289293587202699
Thailand,2015.0,1.7289293587202699
Timor-Leste,2010.0,2.2419050729222967
Timor-Leste,2015.0,2.2419050729222967
Tunisia,2010.0,-0.2502381356263551
Türkiye,2010.0,-0.5373514085006237
Türkiye,2015.0,-0.5373514085006237
Uganda,2010.0,2.134716117715903
Uganda,2015.0,2.134716117715903
Ukraine,2010.0,0.8790740710124351
United Arab Emirates,2015.0,0.13257956153933667
United Kingdom,2010.0,0.5039127277900572
United Kingdom,2015.0,0.021562429361285922
United Rep. of Tanzania,2010.0,0.0407033142195705
United Rep. of Tanzania,2015.0,-0.6177431249054188
United States of America,2015.0,-0.11625194161836307
Uruguay,2015.0,-0.7440729649700971
Uzbekistan,2015.0,0.24742487068904384
Venezuela (Boliv. Rep. of),2010.0,0.3737547107537222
Viet Nam,2010.0,0.6953215763729027
Yemen,2010.0,1.8476028448416344
Zambia,2010.0,-0.8665746280631184
Zambia,2015.0,-0.8665746280631184
