Country,Year,GDP per capita (US dollars)
Romania,2010.0,-0.42935036705402585
Romania,2015.0,-0.40214255635426843
Russian Federation,2015.0,-0.37900408777656164
Rwanda,2010.0,-0.7968687421931845
Rwanda,2015.0,-0.7903388676252426
Saint Lucia,2010.0,-0.41345154201903717
Saint Lucia,2015.0,-0.33731698999136805
Saint Vincent & Grenadines,2010.0,-0.5131031060776271
San Marino,2010.0,2.377691292322864
Sao Tome and Principe,2010.0,-0.773682955683826
Saudi Arabia,2015.0,0.1203420449443783
Senegal,2010.0,-0.7641720514218238
Senegal,2015.0,-0.7664433121411078
Serbia,2010.0,-0.5664304150491517
Serbia,2015.0,-0.5754208220629846
Sierra Leone,2015.0,-0.7974838753046573
Singapore,2010.0,1.372563788176346
Singapore,2015.0,1.7544668145376374
Slovakia,2010.0,-0.026390861107704965
Slovakia,2015.0,-0.049813237275322254
Slovenia,2010.0,0.2827371863731915
Slovenia,2015.0,0.15488413505015733
South Africa,2010.0,-0.4435930644812033
South Africa,2015.0,-0.5315570994218104
Spain,2010.0,0.6184579114423727
Spain,2015.0,0.3935084643699432
Sri Lanka,2010.0,-0.6950878712102657
Sri Lanka,2015.0,-0.6462084478140058
Suriname,2015.0,-0.40346745844051746
Sweden,2010.0,1.675729776269122
Sweden,2015.0,1.6016298953024781
Switzerland,2010.0,2.825224289885136
Switzerland,2015.0,3.1867806056361734
Tajikistan,2010.0,-0.7899603241720287
Thailand,2010.0,-0.5885752070621717
Thailand,2015.0,-0.5548375217944724
Timor-Leste,2010.0,-0.786648068956406
Timor-Leste,2015.0,-0.762421287950709
Tunisia,2010.0,-0.6336691959262915
Türkiye,2010.0,-0.32269574911097665
Türkiye,2015.0,-0.3114813993095114
Uganda,2010.0,-0.7800708764568125
Uganda,2015.0,-0.7879729710426551
Ukraine,2010.0,-0.6841101110670592
United Arab Emirates,2015.0,1.0755018132666463
United Kingdom,2010.0,1.053404339185278
United Kingdom,2015.0,1.3041420590079125
United Rep. of Tanzania,2010.0,-0.7909540007367154
United Rep. of Tanzania,2015.0,-0.781111870953151
United States of America,2015.0,1.8288979210258434
Uruguay,2015.0,-0.03121729013618368
Uzbekistan,2015.0,-0.6931951539441956
Venezuela (Boliv. Rep. of),2010.0,-0.17605747892219686
Viet Nam,2010.0,-0.7452921966927747
Yemen,2010.0,-0.7658754969612869
Zambia,2010.0,-0.7554655519979013
Zambia,2015.0,-0.7642193693534755
