Country,Year,Gross enrollment ratio - Primary (male)
Greece,2015.0,-0.5937424066064966
Guatemala,2010.0,0.9831200774345678
Guatemala,2015.0,-0.29926808729762355
Guyana,2010.0,-0.7932250100092814
Honduras,2015.0,1.0781117933406559
Hungary,2010.0,-0.47975234751919044
Hungary,2015.0,-0.356263116841276
Iceland,2010.0,-0.6887341225125848
Iceland,2015.0,-0.717231637284411
India,2010.0,0.13769380587038316
India,2015.0,-0.7552283236468469
Indonesia,2010.0,0.10919629109855696
Indonesia,2015.0,0.10919629109855696
Ireland,2010.0,-0.2897689157070139
Ireland,2015.0,-0.4607540043379725
Israel,2010.0,-0.09978548389483745
Israel,2015.0,-0.09028631230422916
Italy,2010.0,-0.26127140093518775
Italy,2015.0,-0.5367473770628441
Jamaica,2010.0,-0.41325814638492836
Jamaica,2015.0,-0.41325814638492836
Japan,2015.0,-0.717231637284411
Kazakhstan,2010.0,0.2136871785952535
Kazakhstan,2015.0,0.4986623263135182
Kenya,2015.0,-0.24227305775396982
Kyrgyzstan,2010.0,-0.6127407497877145
Kyrgyzstan,2015.0,-0.04279045435118504
Latvia,2010.0,-0.2232747145727519
Latvia,2015.0,-0.650737436150149
Lebanon,2010.0,0.4416672967698658
Lithuania,2010.0,-0.49875069070040834
Lithuania,2015.0,-0.3847606316131022
Luxembourg,2010.0,-0.869218382734153
Luxembourg,2015.0,-0.6887341225125848
Madagascar,2015.0,3.8993657557514783
Malawi,2010.0,2.949448596690596
Malaysia,2010.0,-0.6602366077407587
Malaysia,2015.0,-0.26127140093518775
Maldives,2010.0,0.18518966382342728
Maldives,2015.0,-0.30876725888823187
Malta,2010.0,-0.4417556611567559
Malta,2015.0,-0.32776560206944977
Mauritius,2010.0,-0.356263116841276
Mauritius,2015.0,-0.4037589747943201
Mexico,2010.0,0.48916315472290994
Mexico,2015.0,0.04270208996429492
Mongolia,2010.0,1.9900322660391039
Mongolia,2015.0,-0.4702531759285821
Morocco,2015.0,0.5746556990383885
Mozambique,2010.0,1.230098538790398
Namibia,2010.0,1.0686126217500476
Nepal,2010.0,3.6903839807580825
Nepal,2015.0,3.1394320285027724
Netherlands (Kingdom of the),2010.0,0.2136871785952535
Netherlands (Kingdom of the),2015.0,-0.337264773660058
New Zealand,2010.0,-0.49875069070040834
New Zealand,2015.0,-0.8122233531904993
Nicaragua,2010.0,1.4105827990119648
Nicaragua,2015.0,0.4131697819980383
Norway,2010.0,-0.6982332941031931
Norway,2015.0,-0.5937424066064966
Oman,2015.0,-0.02379211116996712
Pakistan,2010.0,-1.4486678497612908
Pakistan,2015.0,-1.410671163398855
Panama,2015.0,-0.8597192111435434
Paraguay,2010.0,-0.1852780282103174
Paraguay,2015.0,-1.4391686781706825
Peru,2010.0,0.33717640927316794
Peru,2015.0,-0.5747440634252786
Philippines,2015.0,0.7266424444881305
Poland,2010.0,-0.8882167259153696
Poland,2015.0,-0.8882167259153696
Portugal,2010.0,0.6601482433538685
Portugal,2015.0,0.2611830365482976
Qatar,2010.0,-0.5082498622910167
Qatar,2015.0,-0.3847606316131022
Republic of Korea,2010.0,-0.4322564895661463
Republic of Korea,2015.0,-0.6982332941031931
Republic of Moldova,2010.0,-0.004793767988749202
Republic of Moldova,2015.0,-0.004793767988749202
Romania,2010.0,-0.5177490338816263
Romania,2015.0,-1.562657908848597
Russian Federation,2015.0,-0.717231637284411
Rwanda,2010.0,3.8138732114359986
Rwanda,2015.0,3.082436998959117
Saint Lucia,2010.0,-0.32776560206944977
Saint Lucia,2015.0,-0.32776560206944977
Saint Vincent & Grenadines,2010.0,0.5366590126759541
San Marino,2010.0,-0.7029828798984986
Sao Tome and Principe,2010.0,1.0211167637970036
Saudi Arabia,2015.0,0.2326855217764714
Senegal,2010.0,-2.332090807687911
Senegal,2015.0,-2.4745783815470435
Serbia,2010.0,-0.9642100986402412
Serbia,2015.0,-0.4512548327473642
Sierra Leone,2015.0,0.8596308467566532
Singapore,2010.0,-0.0950358980995333
Singapore,2015.0,-0.3040176730929277
Slovakia,2010.0,-0.41325814638492836
Slovakia,2015.0,-0.6982332941031931
Slovenia,2010.0,-0.6412382645595407
Slovenia,2015.0,-0.6317390929689324
South Africa,2010.0,0.052201261554903206
South Africa,2015.0,0.2801813797295155
Spain,2010.0,-0.17577885661970777
Spain,2015.0,-0.061788797532402955
Sri Lanka,2010.0,-0.5272482054722345
Sri Lanka,2015.0,-0.337264773660058
Suriname,2015.0,0.8501316751660449
Sweden,2010.0,-0.4322564895661463
Sweden,2015.0,1.3535877694683125
Switzerland,2010.0,-0.29926808729762355
Switzerland,2015.0,-0.1852780282103174
Tajikistan,2010.0,-0.337264773660058
Thailand,2010.0,-0.8407208679623255
Thailand,2015.0,-0.26127140093518775
Timor-Leste,2010.0,1.885541378542406
Timor-Leste,2015.0,2.2370107273949342
Tunisia,2010.0,0.10919629109855696
Türkiye,2010.0,-0.4037589747943201
Türkiye,2015.0,-0.270770572525796
Uganda,2010.0,1.4485794853744007
Uganda,2015.0,-0.4417556611567559
Ukraine,2010.0,-0.7362299804656289
United Arab Emirates,2015.0,0.48916315472290994
United Kingdom,2010.0,-0.1377821702572733
United Kingdom,2015.0,-0.4037589747943201
United Rep. of Tanzania,2010.0,-0.41325814638492836
United Rep. of Tanzania,2015.0,-2.2560974349630407
United States of America,2015.0,-0.5652448918346704
Uruguay,2015.0,0.5651565274477802
Uzbekistan,2015.0,-0.5367473770628441
Venezuela (Boliv. Rep. of),2010.0,-0.1947771998009257
Viet Nam,2010.0,0.17569049223281766
Yemen,2010.0,-0.5082498622910167
Zambia,2010.0,0.03320291837368528
Zambia,2015.0,-0.4702531759285821
