Country,Year,Unemployment rate - Female
Dominican Republic,2015.0,0.43314078187242083
Ecuador,2010.0,-0.6554070626929849
Ecuador,2015.0,-0.7461193830734354
El Salvador,2010.0,-0.8005467753017056
El Salvador,2015.0,-0.9275440238343363
Estonia,2010.0,0.9955571682312138
Estonia,2015.0,-0.41955502970381364
Eswatini,2010.0,3.698784315568638
Eswatini,2015.0,3.027513144753305
Finland,2010.0,-0.18370299671464246
Finland,2015.0,0.034006572198438875
France,2010.0,0.08843396442670896
France,2015.0,0.23357367703542986
Georgia,2010.0,1.6305434108943673
Germany,2010.0,-0.38327010155163344
Germany,2015.0,-0.8005467753017056
Ghana,2015.0,-0.3651276374755434
Greece,2010.0,1.4128338419812858
Greece,2015.0,3.6806418514925476
Guatemala,2010.0,-0.873116631606066
Guatemala,2015.0,-0.9094015597582462
Guyana,2010.0,1.068127024535574
Honduras,2015.0,0.07029150035061894
Hungary,2010.0,0.3787133896441504
Hungary,2015.0,-0.292557781171183
Iceland,2010.0,-0.34698517339945323
Iceland,2015.0,-0.8186892393777958
India,2010.0,-0.020420820029831536
India,2015.0,-0.11113314041028201
Indonesia,2010.0,-0.4014125656277235
Indonesia,2015.0,-0.7642618471495254
Ireland,2010.0,0.5057106381767813
Ireland,2015.0,0.05214903627452891
Israel,2010.0,-0.11113314041028201
Israel,2015.0,-0.5828372063886245
Italy,2010.0,0.17914628480715944
Italy,2015.0,0.7415626711659523
Jamaica,2010.0,0.21543121295933984
Jamaica,2015.0,0.5238531022528713
Japan,2015.0,-1.0001138801386968
Kazakhstan,2010.0,-0.3651276374755434
Kazakhstan,2015.0,-0.5646947423125344
Kenya,2015.0,-1.0182563442147867
Kyrgyzstan,2010.0,-1.0182563442147867
Kyrgyzstan,2015.0,-0.9094015597582462
Latvia,2010.0,1.394691377905196
Latvia,2015.0,-0.0022783559537415056
Lebanon,2010.0,0.3787133896441504
Lithuania,2010.0,1.068127024535574
Lithuania,2015.0,-0.07484821225810195
Luxembourg,2010.0,-0.6372645986168949
Luxembourg,2015.0,-0.23813038894291272
Madagascar,2015.0,-1.235965913127868
Malawi,2010.0,-0.5102673500842642
Malaysia,2010.0,-0.9094015597582462
Malaysia,2015.0,-0.9456864879104263
Maldives,2010.0,0.7959900633942227
Maldives,2015.0,-0.4014125656277235
Malta,2010.0,-0.2744153170950929
Malta,2015.0,-0.5828372063886245
Mauritius,2010.0,0.7959900633942227
Mauritius,2015.0,0.3787133896441504
Mexico,2010.0,-0.6191221345408047
Mexico,2015.0,-0.7642618471495254
Mongolia,2010.0,-0.49212488600817395
Mongolia,2015.0,-0.8005467753017056
Morocco,2015.0,0.3242859974158803
Mozambique,2010.0,-1.0001138801386968
Namibia,2010.0,2.791661111764133
Nepal,2010.0,0.6508503507855019
Nepal,2015.0,0.6145654226333218
Netherlands (Kingdom of the),2010.0,-0.5646947423125344
Netherlands (Kingdom of the),2015.0,-0.23813038894291272
New Zealand,2010.0,-0.310700245247273
New Zealand,2015.0,-0.49212488600817395
Nicaragua,2010.0,0.034006572198438875
Nicaragua,2015.0,-0.5828372063886245
Norway,2010.0,-1.0363988082908768
Norway,2015.0,-0.8368317034538858
Oman,2015.0,0.7234202070898623
Pakistan,2010.0,-1.4536754820409492
Pakistan,2015.0,-0.4376974937799037
Panama,2015.0,-0.5828372063886245
Paraguay,2010.0,-0.4739824219320839
Paraguay,2015.0,-0.6735495267690749
Peru,2010.0,-0.8005467753017056
Peru,2015.0,-0.9638289519865165
Philippines,2015.0,-0.9819714160626065
Poland,2010.0,0.2517161411115199
Poland,2015.0,-0.16556053263855228
Portugal,2010.0,0.5964229585572317
Portugal,2015.0,0.7597051352420426
Qatar,2010.0,-1.072683736443057
Qatar,2015.0,-1.3992480898126787
Republic of Korea,2010.0,-1.054541272366967
Republic of Korea,2015.0,-0.9275440238343363
Republic of Moldova,2010.0,-0.5102673500842642
Republic of Moldova,2015.0,-0.9275440238343363
Romania,2010.0,-0.4376974937799037
Romania,2015.0,-0.49212488600817395
Russian Federation,2015.0,-0.6009796704647146
Rwanda,2010.0,0.7415626711659523
Rwanda,2015.0,0.7234202070898623
Saint Lucia,2010.0,1.7756831235030877
Saint Lucia,2015.0,2.519524150622782
Saint Vincent & Grenadines,2010.0,1.612400946818277
San Marino,2010.0,-0.23813038894291272
Sao Tome and Principe,2010.0,2.4650967583945116
Saudi Arabia,2015.0,2.4650967583945116
Senegal,2010.0,0.9411297760029437
Senegal,2015.0,-0.23813038894291272
Serbia,2010.0,2.1022474768727095
Serbia,2015.0,1.830110515731358
Sierra Leone,2015.0,-0.9275440238343363
Singapore,2010.0,-0.7642618471495254
Singapore,2015.0,-0.8368317034538858
Slovakia,2010.0,1.0862694886116642
Slovakia,2015.0,0.7778475993181327
Slovenia,2010.0,-0.292557781171183
Slovenia,2015.0,0.2517161411115199
South Africa,2010.0,2.954943288448944
South Africa,2015.0,2.9368008243728543
Spain,2010.0,2.1022474768727095
Spain,2015.0,2.719091255459773
Sri Lanka,2010.0,-0.20184546079073248
Sri Lanka,2015.0,-0.21998792486682253
Suriname,2015.0,0.5057106381767813
Sweden,2010.0,-0.020420820029831536
Sweden,2015.0,-0.23813038894291272
Switzerland,2010.0,-0.6191221345408047
Switzerland,2015.0,-0.6735495267690749
Tajikistan,2010.0,0.1972887488832495
Thailand,2010.0,-1.4536754820409492
Thailand,2015.0,-1.4536754820409492
Timor-Leste,2010.0,-0.8368317034538858
Timor-Leste,2015.0,-0.49212488600817395
Tunisia,2010.0,1.8663954438835382
Türkiye,2010.0,0.5057106381767813
Türkiye,2015.0,0.7234202070898623
Uganda,2010.0,-0.7824043112256156
Uganda,2015.0,-0.9638289519865165
Ukraine,2010.0,-0.310700245247273
United Arab Emirates,2015.0,-0.7461193830734354
United Kingdom,2010.0,-0.310700245247273
United Kingdom,2015.0,-0.6372645986168949
United Rep. of Tanzania,2010.0,-0.9275440238343363
United Rep. of Tanzania,2015.0,-1.072683736443057
United States of America,2015.0,-0.6191221345408047
Uruguay,2015.0,0.034006572198438875
Uzbekistan,2015.0,-0.6735495267690749
Venezuela (Boliv. Rep. of),2010.0,-0.310700245247273
Viet Nam,2010.0,-1.3629631616604987
Yemen,2010.0,2.1203899409487996
Zambia,2010.0,0.7959900633942227
Zambia,2015.0,-0.020420820029831536
