Country,Year,Other of concern to UNHCR (number)
Republic of Moldova,2010.0,-0.20916273517878137
Republic of Moldova,2015.0,-0.20168018300416793
Romania,2010.0,-0.2122102588090512
Romania,2015.0,-0.21225834948001396
Russian Federation,2015.0,-0.010669381347962394
Rwanda,2010.0,-0.21277844118079642
Rwanda,2015.0,-0.20822763879894987
Saint Lucia,2010.0,-0.212780222316758
Saint Lucia,2015.0,-0.21267513529502458
Saint Vincent & Grenadines,2010.0,-0.21272767880589127
San Marino,2010.0,-0.21257539168117587
Sao Tome and Principe,2010.0,-0.21277309777291167
Saudi Arabia,2015.0,-0.0881024861418554
Senegal,2010.0,-0.21028663197054073
Senegal,2015.0,-0.21028663197054073
Serbia,2010.0,0.21257107553310153
Serbia,2015.0,0.18610161400800507
Sierra Leone,2015.0,-0.206151724835724
Singapore,2010.0,-0.212780222316758
Singapore,2015.0,-0.212780222316758
Slovakia,2010.0,-0.21115938859171676
Slovakia,2015.0,-0.2098057252609131
Slovenia,2010.0,-0.20544550442695603
Slovenia,2015.0,-0.21277487890887326
South Africa,2010.0,-0.21254333123386737
South Africa,2015.0,-0.21254333123386737
Spain,2010.0,-0.2127267882379105
Spain,2015.0,-0.21199830362962271
Sri Lanka,2010.0,0.5618393696479486
Sri Lanka,2015.0,-0.12283641852870057
Suriname,2015.0,-0.21277576947685403
Sweden,2010.0,-0.19578106069940246
Sweden,2015.0,-0.1643938827843732
Switzerland,2010.0,-0.21255579918559844
Switzerland,2015.0,-0.21264663711963921
Tajikistan,2010.0,-0.20861770757453674
Thailand,2010.0,0.7534931613862857
Thailand,2015.0,0.6897516487290872
Timor-Leste,2010.0,-0.21277309777291167
Timor-Leste,2015.0,-0.21277309777291167
Tunisia,2010.0,-0.21277666004483484
Türkiye,2010.0,-0.2108476897984396
Türkiye,2015.0,-0.2108476897984396
Uganda,2010.0,0.5669547921296171
Uganda,2015.0,0.10782246963235977
Ukraine,2010.0,-0.14090069945108322
United Arab Emirates,2015.0,-0.21276241095714216
United Kingdom,2010.0,-0.2123741233175169
United Kingdom,2015.0,-0.21275350527733425
United Rep. of Tanzania,2010.0,0.07802228385910165
United Rep. of Tanzania,2015.0,0.08648267967662457
United States of America,2015.0,-0.10105846912641576
Uruguay,2015.0,-0.21271966369406414
Uzbekistan,2015.0,-0.05835217217552161
Venezuela (Boliv. Rep. of),2010.0,-0.20386296512508884
Viet Nam,2010.0,-0.19461441664456508
Yemen,2010.0,0.3499304997544806
Zambia,2010.0,-0.19552813939285757
Zambia,2015.0,-0.1710767049122355
