Country,Year,Employment by industry: Industry (%) Male
Saint Lucia,2015.0,-0.6493279861845226
Saint Vincent & Grenadines,2010.0,0.3488625515836096
San Marino,2010.0,1.9318515862260015
Sao Tome and Principe,2010.0,-0.19560501447173514
Saudi Arabia,2015.0,0.06654603585120883
Senegal,2010.0,-0.5485006591372364
Senegal,2015.0,-0.32668053963320715
Serbia,2010.0,0.6311790673160111
Serbia,2015.0,-0.30651507422375
Sierra Leone,2015.0,-1.869338643456684
Singapore,2010.0,0.16737336289849494
Singapore,2015.0,-0.5787488572514223
Slovakia,2010.0,2.3754918252340604
Slovakia,2015.0,2.2141681019584025
Slovenia,2010.0,0.6715099981349254
Slovenia,2015.0,1.7100314667219718
South Africa,2010.0,-0.1048604201291778
South Africa,2015.0,0.3488625515836096
Spain,2010.0,0.5404344729734534
Spain,2015.0,0.2883661553552382
Sri Lanka,2010.0,-0.1855222817670064
Sri Lanka,2015.0,-0.05444675660553476
Suriname,2015.0,1.1353157025524416
Sweden,2010.0,0.4396071459261673
Sweden,2015.0,0.21778702642213799
Switzerland,2010.0,0.5807654037923681
Switzerland,2015.0,0.3589452842883384
Tajikistan,2010.0,-0.49808699561359343
Thailand,2010.0,-0.3770942031568502
Thailand,2015.0,-0.12502588553863495
Timor-Leste,2010.0,-1.4055329390391682
Timor-Leste,2015.0,-1.3954502063344396
Tunisia,2010.0,0.7219236616585685
Türkiye,2010.0,0.39927621510725264
Türkiye,2015.0,-0.3871769358615786
Uganda,2010.0,-1.6576012566573834
Uganda,2015.0,-2.2020688227127287
Ukraine,2010.0,1.1252329698477128
United Arab Emirates,2015.0,1.2058948314855413
United Kingdom,2010.0,0.3085316207646953
United Kingdom,2015.0,0.18753882830795207
United Rep. of Tanzania,2010.0,-1.8088422472283125
United Rep. of Tanzania,2015.0,-2.292813417055286
United States of America,2015.0,-0.9618927000311096
Uruguay,2015.0,0.2782834226505094
Uzbekistan,2015.0,0.3387798188788812
Venezuela (Boliv. Rep. of),2010.0,0.2883661553552382
Viet Nam,2010.0,-0.06452948931026316
Yemen,2010.0,-0.6795761842987085
Zambia,2010.0,-1.254291948468239
Zambia,2015.0,-1.5265257314959115
