Country,Year,Gross enrollment ratio - Upper secondary level (male)
Lithuania,2015.0,0.9957740152367157
Luxembourg,2010.0,0.07713592406882762
Luxembourg,2015.0,0.1805196320780755
Madagascar,2015.0,-1.8339857639878403
Malawi,2010.0,-1.981676775429623
Malaysia,2010.0,-0.7587952006916623
Malaysia,2015.0,-0.2861839640779577
Maldives,2010.0,-0.6879035151996068
Maldives,2015.0,-1.2875290216532445
Malta,2010.0,0.8067295205912342
Malta,2015.0,-0.023293963711584775
Mauritius,2010.0,-0.1946155369840526
Mauritius,2015.0,-0.09123182897480472
Mexico,2010.0,-0.8060563243530328
Mexico,2015.0,-0.41024441368905523
Mongolia,2010.0,-0.03215542439809165
Mongolia,2015.0,0.0357824408651283
Morocco,2015.0,-0.12963149194966814
Mozambique,2010.0,-2.1441368880155838
Namibia,2010.0,0.4522710931309557
Nepal,2010.0,-1.240267897991874
Nepal,2015.0,-1.0984845270077623
Netherlands (Kingdom of the),2010.0,0.8717135656256186
Netherlands (Kingdom of the),2015.0,1.235033453772404
New Zealand,2010.0,1.3236480606374732
New Zealand,2015.0,1.0932500827882927
Nicaragua,2010.0,-1.0423619426598851
Nicaragua,2015.0,-1.0423619426598851
Norway,2010.0,1.2379872740012394
Norway,2015.0,1.2852483976626101
Oman,2015.0,0.37547176718122843
Pakistan,2010.0,-1.6803871120883862
Pakistan,2015.0,-1.4677120556122192
Panama,2015.0,-0.9035323919046094
Paraguay,2010.0,-0.9448858751083086
Paraguay,2015.0,-0.820825425497211
Peru,2010.0,-0.3659371102565204
Peru,2015.0,0.14802760956088348
Philippines,2015.0,-0.3423065484258353
Poland,2010.0,0.3016262614603371
Poland,2015.0,0.9071594083716461
Portugal,2010.0,0.3163953626045154
Portugal,2015.0,1.010543116380894
Qatar,2010.0,0.42568671107143463
Qatar,2015.0,0.42568671107143463
Republic of Korea,2010.0,0.21005783436643202
Republic of Korea,2015.0,0.3311644637486937
Republic of Moldova,2010.0,0.4522710931309557
Republic of Moldova,2015.0,0.4522710931309557
Romania,2010.0,0.3488873851217078
Romania,2015.0,0.09485884544184137
Russian Federation,2015.0,0.8687597453967827
Rwanda,2010.0,-1.9285080113105808
Rwanda,2015.0,-1.5947263254521524
Saint Lucia,2010.0,0.09485884544184137
Saint Lucia,2015.0,-0.12963149194966814
Saint Vincent & Grenadines,2010.0,-0.12667767172083264
San Marino,2010.0,1.09472699290271
Sao Tome and Principe,2010.0,-1.869431606733868
Saudi Arabia,2015.0,1.0873424423306213
Senegal,2010.0,-1.2107296957035174
Senegal,2015.0,-1.2919597519964978
Serbia,2010.0,-0.08237036828829784
Serbia,2015.0,0.11258176681485554
Sierra Leone,2015.0,-1.6951562132325646
Singapore,2010.0,0.45374800324537345
Singapore,2015.0,-0.40876750357463704
Slovakia,2010.0,0.10667412635718415
Slovakia,2015.0,-0.07055508737295506
Slovenia,2010.0,0.4463634526732843
Slovenia,2015.0,0.8805750263121255
South Africa,2010.0,-0.05873980645761228
South Africa,2015.0,0.8067295205912342
Spain,2010.0,1.0991577232459635
Spain,2015.0,1.1464188469073342
Sri Lanka,2010.0,0.1716581713915686
Sri Lanka,2015.0,0.1716581713915686
Suriname,2015.0,-1.4499891342392053
Sweden,2010.0,0.431594351529106
Sweden,2015.0,1.870104802972069
Switzerland,2010.0,0.10667412635718415
Switzerland,2015.0,0.4404558122156129
Tajikistan,2010.0,-0.43978261597741175
Thailand,2010.0,-0.693811155657278
Thailand,2015.0,1.0164507568385655
Timor-Leste,2010.0,-0.9862393583120077
Timor-Leste,2015.0,-0.7883334029800187
Tunisia,2010.0,-0.5402125037578241
Türkiye,2010.0,-0.25073812133192974
Türkiye,2015.0,0.7062996328108218
Uganda,2010.0,-0.44273643620624725
Uganda,2015.0,-0.5859967173047766
Ukraine,2010.0,-0.06760126714411958
United Arab Emirates,2015.0,2.750343231165094
United Kingdom,2010.0,0.29867244123150166
United Kingdom,2015.0,1.3088789594932948
United Rep. of Tanzania,2010.0,-2.247520596024832
United Rep. of Tanzania,2015.0,-2.318412281516887
United States of America,2015.0,0.23664221642595307
Uruguay,2015.0,-0.6081503690210441
Uzbekistan,2015.0,0.1332585084167052
Venezuela (Boliv. Rep. of),2010.0,-0.5874736274191944
Viet Nam,2010.0,-0.10895475034781847
Yemen,2010.0,-1.3022981227974226
Zambia,2010.0,0.20415019390876063
Zambia,2015.0,0.372517946952393
