Country,Year,GDP in constant 2015 prices (millions of US dollars)
Republic of Moldova,2010.0,-0.3070869229994057
Republic of Moldova,2015.0,-0.3062938836689447
Romania,2010.0,-0.21595241327483705
Romania,2015.0,-0.2019420517700263
Russian Federation,2015.0,0.525224107639009
Rwanda,2010.0,-0.3073604694351254
Rwanda,2015.0,-0.30581487074002744
Saint Lucia,2010.0,-0.3099726538964041
Saint Lucia,2015.0,-0.30993401392902664
Saint Vincent & Grenadines,2010.0,-0.31059396003852086
San Marino,2010.0,-0.30989046729912506
Sao Tome and Principe,2010.0,-0.31088774645715256
Saudi Arabia,2015.0,0.09024111488193555
Senegal,2010.0,-0.3021115671999474
Senegal,2015.0,-0.30015074218874577
Serbia,2010.0,-0.28776203264815686
Serbia,2015.0,-0.2867218201930433
Sierra Leone,2015.0,-0.3084387085248009
Singapore,2010.0,-0.15924366115231373
Singapore,2015.0,-0.12213825247928305
Slovakia,2010.0,-0.26283741369125546
Slovakia,2015.0,-0.25654032567436225
Slovenia,2010.0,-0.2851553681822178
Slovenia,2015.0,-0.2846156353045646
South Africa,2010.0,-0.120019800934494
South Africa,2015.0,-0.09853291240855458
Spain,2010.0,0.42290302069226093
Spain,2015.0,0.4223031811986872
Sri Lanka,2010.0,-0.2743791106136181
Sri Lanka,2015.0,-0.2616070680633323
Suriname,2015.0,-0.30790020231277865
Sweden,2010.0,-0.032824727883978645
Sweden,2015.0,-0.0012472878771852983
Switzerland,2010.0,0.08262474797886941
Switzerland,2015.0,0.11960749008879706
Tajikistan,2010.0,-0.3072519095267792
Thailand,2010.0,-0.09823728599147631
Thailand,2015.0,-0.06491614079017362
Timor-Leste,2010.0,-0.31024926699620137
Timor-Leste,2015.0,-0.3100664938171779
Tunisia,2010.0,-0.2868064601215844
Türkiye,2010.0,0.06564585564696575
Türkiye,2015.0,0.21906799278398278
Uganda,2010.0,-0.29655661188982746
Uganda,2015.0,-0.2930753348289639
Ukraine,2010.0,-0.24838974588898252
United Arab Emirates,2015.0,-0.09138819844061953
United Kingdom,2010.0,1.320670156068075
United Kingdom,2015.0,1.4890005739518166
United Rep. of Tanzania,2010.0,-0.2898749641976063
United Rep. of Tanzania,2015.0,-0.2819850508588204
United States of America,2015.0,10.855307199597
Uruguay,2015.0,-0.27603449588269324
Uzbekistan,2015.0,-0.258177310958972
Venezuela (Boliv. Rep. of),2010.0,-0.1009065104045979
Viet Nam,2010.0,-0.20228674481234576
Yemen,2010.0,-0.2806927586165302
Zambia,2010.0,-0.30109466139182345
Zambia,2015.0,-0.2982506371262801
