Country,Year,Unemployment rate - Total
Uganda,2010.0,-0.8453443422883159
Uganda,2015.0,-1.0240162486048523
Ukraine,2010.0,0.04801518929436633
United Arab Emirates,2015.0,-1.2026881549213888
United Kingdom,2010.0,-0.011542112811145786
United Kingdom,2015.0,-0.5078529636904138
United Rep. of Tanzania,2010.0,-0.9644589464993402
United Rep. of Tanzania,2015.0,-1.1431308528158768
United States of America,2015.0,-0.5078529636904138
Uruguay,2015.0,-0.0710994149166579
Uzbekistan,2015.0,-0.5277053977255843
Venezuela (Boliv. Rep. of),2010.0,-0.15050915105734083
Viet Nam,2010.0,-1.341655193167584
Yemen,2010.0,0.9810795889473902
Zambia,2010.0,1.060489325088073
Zambia,2015.0,0.08772005736470798
