Country,Year,"Assault rate per 100,000 population"
Cuba,2010.0,-0.4510174737540197
Cyprus,2010.0,-0.5212763473165182
Cyprus,2015.0,-0.5343754593366451
Czechia,2010.0,0.10351160176468387
Czechia,2015.0,-0.384728028076408
Denmark,2010.0,-0.4565746727928614
Denmark,2015.0,-0.4799942973136942
Dominican Republic,2015.0,-0.4335519910605172
Ecuador,2010.0,-0.4625288146201918
Ecuador,2015.0,-0.3855219136533854
El Salvador,2010.0,-0.32955298047647974
El Salvador,2015.0,-0.20689765883347372
Estonia,2010.0,-0.551443999241659
Estonia,2015.0,-0.5522378848186363
Eswatini,2010.0,0.14677836570995137
Eswatini,2015.0,0.05726776690575126
Finland,2010.0,-0.4343458766374946
Finland,2015.0,-0.46887989923601087
France,2010.0,0.892236922491716
France,2015.0,0.9243892883593002
Georgia,2010.0,-0.5689094819351613
Germany,2010.0,0.11541988541934464
Germany,2015.0,0.034046613779162654
Ghana,2015.0,0.10490090152439438
Greece,2010.0,-0.5423143151064189
Greece,2015.0,-0.5224671756819843
Guatemala,2010.0,-0.3787738862490776
Guatemala,2015.0,-0.5232610612589617
Guyana,2010.0,5.352683036739155
Honduras,2015.0,-0.5252457752014051
Hungary,2010.0,-0.002869065550285688
Hungary,2015.0,-0.002869065550285688
Iceland,2010.0,-0.5109558348158122
Iceland,2015.0,-0.4799942973136942
India,2010.0,-0.4895209242374229
India,2015.0,-0.4895209242374229
Indonesia,2010.0,-0.5300090886632696
Indonesia,2015.0,-0.5597797977999215
Ireland,2010.0,0.7374292349811259
Ireland,2015.0,-0.282713731434814
Israel,2010.0,1.9099982321767237
Israel,2015.0,1.9099982321767237
Italy,2010.0,-0.1517226112335454
Italy,2015.0,-0.15331038238750022
Jamaica,2010.0,-0.3775830578836115
Jamaica,2015.0,-0.16521866604216098
Japan,2015.0,-0.5034139218345272
Kazakhstan,2010.0,-0.5439020862603737
Kazakhstan,2015.0,-0.5621614545308536
Kenya,2015.0,-0.455780787215884
Kyrgyzstan,2010.0,-0.5431082006833963
Kyrgyzstan,2015.0,-0.557795083857478
Latvia,2010.0,-0.35059094826638043
Latvia,2015.0,-0.4756279266403186
Lebanon,2010.0,0.1725796469617164
Lithuania,2010.0,-0.5510470564531702
Lithuania,2015.0,-0.5534287131841024
Luxembourg,2010.0,1.3554691566580206
Luxembourg,2015.0,-0.15807369584936454
Madagascar,2015.0,-0.5470776285682832
Malawi,2010.0,-0.5585889694344554
Malaysia,2010.0,-0.5488638711164824
Malaysia,2015.0,-0.5530317703956136
Maldives,2010.0,-0.2430194525859447
Maldives,2015.0,-0.2430194525859447
Malta,2010.0,-0.4113231949051504
Malta,2015.0,-0.4228345357713225
Mauritius,2010.0,-0.5085741780848801
Mauritius,2015.0,-0.5085741780848801
Mexico,2010.0,0.23172412244653162
Mexico,2015.0,-0.4291856203871416
Mongolia,2010.0,0.27300617244935566
Mongolia,2015.0,-0.5224671756819843
Morocco,2015.0,0.06222955176185992
Mozambique,2010.0,-0.4343458766374946
Namibia,2010.0,-0.5442990290488624
Nepal,2010.0,-0.5744666809740031
Nepal,2015.0,-0.5059940499597035
Netherlands (Kingdom of the),2010.0,0.8580998426816886
Netherlands (Kingdom of the),2015.0,-0.46332270019716915
New Zealand,2010.0,0.4464701710189144
New Zealand,2015.0,1.249882374920028
Nicaragua,2010.0,0.6616131623797857
Nicaragua,2015.0,0.6616131623797857
Norway,2010.0,-0.34463680643905004
Norway,2015.0,-0.4109262521166617
Oman,2015.0,-0.5780391660704013
Pakistan,2010.0,-0.5093680636618575
Pakistan,2015.0,-0.5276274319323374
Panama,2015.0,-0.29700367182040693
Paraguay,2010.0,-0.4478419314461101
Paraguay,2015.0,-0.5379479444330434
Peru,2010.0,-0.3232018958606606
Peru,2015.0,-0.2616757636449133
Philippines,2015.0,0.1541218072969923
Poland,2010.0,-0.46887989923601087
Poland,2015.0,-0.5105588920273235
Portugal,2010.0,-0.5494592852992155
Portugal,2015.0,-0.564146168473297
Qatar,2010.0,-0.5323907453942016
Qatar,2015.0,0.6659795330531613
Republic of Korea,2010.0,1.7952817663034917
Republic of Korea,2015.0,-0.2084854299874285
Republic of Moldova,2010.0,-0.5371540588560659
Republic of Moldova,2015.0,-0.551443999241659
Romania,2010.0,-0.3418582069196292
Romania,2015.0,-0.5760544521279578
