Country,Year,"Intentional homicide rates per 100,000"
Pakistan,2015.0,-0.21221116371875637
Panama,2015.0,0.37076036606893487
Paraguay,2010.0,0.44166230888095137
Paraguay,2015.0,0.22107848679912223
Peru,2010.0,0.008372658363072712
Peru,2015.0,0.008372658363072712
Philippines,2015.0,-0.2870521033536627
Poland,2010.0,-0.48794094132104276
Poland,2015.0,-0.503696928612602
Portugal,2010.0,-0.4721849540294835
Portugal,2015.0,-0.48794094132104276
Qatar,2010.0,-0.5509648904872796
Qatar,2015.0,-0.5509648904872796
Republic of Korea,2010.0,-0.48794094132104276
Republic of Korea,2015.0,-0.5115749222583815
Republic of Moldova,2010.0,0.0004946647172931294
Republic of Moldova,2015.0,-0.10979724632362145
Romania,2010.0,-0.46430696038370395
Romania,2015.0,-0.43279498580058545
Russian Federation,2015.0,0.33924839148581637
Rwanda,2010.0,-0.34613705569700975
Rwanda,2015.0,-0.36977103663434857
Saint Lucia,2010.0,1.4579234891865211
Saint Lucia,2015.0,0.6858801119001193
Saint Vincent & Grenadines,2010.0,1.237339667104692
San Marino,2010.0,-0.5667208777788388
Sao Tome and Principe,2010.0,-0.30674708746811175
Saudi Arabia,2015.0,-0.08616326538628263
Senegal,2010.0,-0.33432006522834035
Senegal,2015.0,-0.32250307475967094
Serbia,2010.0,-0.43279498580058545
Serbia,2015.0,-0.46430696038370395
Sierra Leone,2015.0,-0.43279498580058545
Singapore,2010.0,-0.5352089031957203
Singapore,2015.0,-0.5509648904872796
Slovakia,2010.0,-0.44067297944636513
Slovakia,2015.0,-0.49581893496682233
Slovenia,2010.0,-0.5115749222583815
Slovenia,2015.0,-0.48794094132104276
South Africa,2010.0,1.8518231714755016
South Africa,2015.0,2.064528999911551
Spain,2010.0,-0.49581893496682233
Spain,2015.0,-0.5115749222583815
Sri Lanka,2010.0,-0.27523511288499325
Sri Lanka,2015.0,-0.3855270239259078
Suriname,2015.0,-0.1019192526778418
Sweden,2010.0,-0.48794094132104276
Sweden,2015.0,-0.4800629476752632
Switzerland,2010.0,-0.5115749222583815
Switzerland,2015.0,-0.5115749222583815
Tajikistan,2010.0,-0.3776490302801282
Thailand,2010.0,-0.14130922090673986
Thailand,2015.0,-0.14130922090673986
Timor-Leste,2010.0,-0.2831131065307729
Timor-Leste,2015.0,-0.24372313830187484
Tunisia,2010.0,-0.361893042988569
Türkiye,2010.0,-0.23584514465609518
Türkiye,2015.0,-0.34613705569700975
Uganda,2010.0,0.20532249950756307
Uganda,2015.0,0.20532249950756307
Ukraine,2010.0,-0.22008915736453596
United Arab Emirates,2015.0,-0.5115749222583815
United Kingdom,2010.0,-0.4721849540294835
United Kingdom,2015.0,-0.48794094132104276
United Rep. of Tanzania,2010.0,0.11078657575820763
United Rep. of Tanzania,2015.0,-0.0073833289284865235
United States of America,2015.0,-0.1806991891356379
Uruguay,2015.0,0.11078657575820763
Uzbekistan,2015.0,-0.44067297944636513
Venezuela (Boliv. Rep. of),2010.0,3.0256442246966637
Viet Nam,2010.0,-0.4485509730921447
Yemen,2010.0,-0.22008915736453596
Zambia,2010.0,-0.1019192526778418
Zambia,2015.0,-0.15706520819829908
