Country,Year,Total population of concern to UNHCR (number)
Republic of Moldova,2010.0,-0.2977885827820428
Republic of Moldova,2015.0,-0.2908849344439795
Romania,2010.0,-0.2985987125649183
Romania,2015.0,-0.29687775890186074
Russian Federation,2015.0,0.35664524063539615
Rwanda,2010.0,-0.21627365967610165
Rwanda,2015.0,-0.09442922493074282
Saint Lucia,2010.0,-0.30122743877187586
Saint Lucia,2015.0,-0.3011404756878384
Saint Vincent & Grenadines,2010.0,-0.30122743877187586
San Marino,2010.0,-0.30071710277870856
Sao Tome and Principe,2010.0,-0.3012289644400169
Saudi Arabia,2015.0,-0.19397754546340398
Senegal,2010.0,-0.2642406660294077
Senegal,2015.0,-0.2749050863350569
Serbia,2010.0,0.17572693547018967
Serbia,2015.0,0.09501146247013696
Sierra Leone,2015.0,-0.2991220167372842
Singapore,2010.0,-0.30122743877187586
Singapore,2015.0,-0.30123659278072196
Slovakia,2010.0,-0.29873754836575006
Slovakia,2015.0,-0.29737665238397054
Slovenia,2010.0,-0.2942902257347104
Slovenia,2015.0,-0.3007346479623301
South Africa,2010.0,0.0492612519257162
South Africa,2015.0,1.0910744216903319
Spain,2010.0,-0.2912251584394244
Spain,2015.0,-0.27490813767133887
Sri Lanka,2010.0,0.3628302992790445
Sri Lanka,2015.0,-0.2221963033994965
Suriname,2015.0,-0.30123659278072196
Sweden,2010.0,-0.13218035741185621
Sweden,2015.0,0.042813778361814436
Switzerland,2010.0,-0.20686638991864348
Switzerland,2015.0,-0.1691900151764395
Tajikistan,2010.0,-0.29036773294417767
Thailand,2010.0,0.6895765423662629
Thailand,2015.0,0.6526950407255243
Timor-Leste,2010.0,-0.3012304901081579
Timor-Leste,2015.0,-0.3012304901081579
Tunisia,2010.0,-0.30106266661264697
Türkiye,2010.0,-0.27403087849025903
Türkiye,2015.0,2.7276235461828664
Uganda,2010.0,0.605588511203747
Uganda,2015.0,0.6850529363281728
Ukraine,2010.0,-0.2305081434317106
United Arab Emirates,2015.0,-0.3000145325997742
United Kingdom,2010.0,0.08515106927479926
United Kingdom,2015.0,-0.06463902880941158
United Rep. of Tanzania,2010.0,0.11649286989553612
United Rep. of Tanzania,2015.0,0.19946022907171732
United States of America,2015.0,0.44897867652922835
Uruguay,2015.0,-0.3006934549225229
Uzbekistan,2015.0,-0.16877808477836723
Venezuela (Boliv. Rep. of),2010.0,0.030451289415222862
Viet Nam,2010.0,-0.2827348152347123
Yemen,2010.0,0.4746831333689389
Zambia,2010.0,-0.21294922879684422
Zambia,2015.0,-0.22227258680654693
