Country,Year,Capital expenditure as % of total expenditure in public institutions (%)
Republic of Moldova,2015.0,-0.32869008625404605
Romania,2010.0,0.40327983275802465
Romania,2015.0,-0.7279464057151754
Russian Federation,2015.0,-0.39523280616423423
Rwanda,2010.0,1.5788678845046835
Rwanda,2015.0,0.40327983275802465
Saint Lucia,2010.0,0.6029079924885891
Saint Lucia,2015.0,0.6029079924885891
Saint Vincent & Grenadines,2010.0,0.2701943929376479
San Marino,2010.0,-0.6503132324866225
Sao Tome and Principe,2010.0,0.048385326570353784
Saudi Arabia,2015.0,-0.32869008625404605
Senegal,2010.0,0.026204419933624448
Senegal,2015.0,1.2683351915904715
Serbia,2010.0,0.8136266055375186
Serbia,2015.0,0.03729487325198931
Sierra Leone,2015.0,-0.29541872629895183
Singapore,2010.0,0.048385326570353784
Singapore,2015.0,0.048385326570353784
Slovakia,2010.0,0.7138125256722361
Slovakia,2015.0,1.3348779115006597
Slovenia,2010.0,-0.06251920661329327
Slovenia,2015.0,-0.1734237397969403
South Africa,2010.0,0.048385326570353784
South Africa,2015.0,-1.0052077386742932
Spain,2010.0,0.40327983275802465
Spain,2015.0,-0.8166700322620931
Sri Lanka,2010.0,1.2461542849537421
Sri Lanka,2015.0,2.2886568968800245
Suriname,2015.0,0.8247170588558832
Sweden,2010.0,-0.7501273123519049
Sweden,2015.0,-0.861031845535552
Switzerland,2010.0,-0.08470011325002261
Switzerland,2015.0,0.2701943929376479
Tajikistan,2010.0,0.6472698057620477
Thailand,2010.0,-1.2602881649966813
Thailand,2015.0,-1.2602881649966813
Timor-Leste,2010.0,0.15928985975400084
Timor-Leste,2015.0,0.15928985975400084
Tunisia,2010.0,0.31455620621110697
Türkiye,2010.0,1.5123251645944953
Türkiye,2015.0,1.5123251645944953
Uganda,2010.0,0.9799834053129892
Uganda,2015.0,0.9799834053129892
Ukraine,2010.0,-0.5615896059397049
United Arab Emirates,2015.0,-0.2732378196622225
United Kingdom,2010.0,0.536365272578401
United Kingdom,2015.0,-1.4155545114537873
United Rep. of Tanzania,2010.0,0.613998445806954
United Rep. of Tanzania,2015.0,1.2239733783170128
United States of America,2015.0,-0.06251920661329327
Uruguay,2015.0,-1.1493836318130344
Uzbekistan,2015.0,-0.2510569130254932
Venezuela (Boliv. Rep. of),2010.0,-0.8277604855804578
Viet Nam,2010.0,3.6195112950837887
Yemen,2010.0,-0.3397805395724107
Zambia,2010.0,1.6675915110516009
Zambia,2015.0,1.6675915110516009
